kList(5),            Time(us),                Time%,   Calls (Top 149, sorted by time)
-------------------------------------------------------------
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 4784.033000000054, 0.047814114443863576%, 16
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 4177.555000000168, 0.041752657823543496%, 16
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 4164.05700000003, 0.04161775178991667%, 16
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 4146.222999999765, 0.041439509516712346%, 16
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 3788.389000000665, 0.03786313037637985%, 156
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 3753.0339999983553, 0.03750977411477522%, 156
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 3742.543999996735, 0.03740493159788756%, 156
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 3704.4379999996163, 0.037024080411271566%, 156
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 3557.3169999998063, 0.03555367660530148%, 16
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 3230.5949999997392, 0.03228824697734301%, 87
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 3178.262000000337, 0.03176520375185479%, 87
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 2701.0610000023153, 0.026995808719121675%, 87
('aten::empty', 'aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 2568.30700000003, 0.025668996184803904%, 3
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 2502.3550000011455, 0.02500983758875151%, 87
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_'), 1406.6849999974947, 0.014059141643953058%, 14
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 1197.4319999932777, 0.01196775830902972%, 46
('aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::narrow', 'aten::slice'), 1068.3219999967841, 0.010677365806369413%, 24
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 1010.5649999978486, 0.010100112303334777%, 12
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 1004.654999998631, 0.010041044688975547%, 12
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 996.1139999993611, 0.009955681491976254%, 4
('aten::log_softmax', 'aten::_log_softmax', 'aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward'), 806.7630000001518, 0.008063209098073013%, 3
('aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 800.8109999990556, 0.008003721713846716%, 4
('aten::view', 'aten::empty', 'aten::random_', 'aten::log_softmax', 'aten::_log_softmax'), 789.7399999994086, 0.007893072380744054%, 3
('aten::random_', 'aten::log_softmax', 'aten::_log_softmax', 'aten::empty', 'aten::nll_loss'), 786.6149999998743, 0.007861839505131614%, 3
('aten::empty', 'aten::random_', 'aten::log_softmax', 'aten::_log_softmax', 'aten::empty'), 736.3919999996433, 0.007359884717251769%, 3
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 687.9529999990482, 0.006875760153400572%, 10
('aten::slice', 'aten::as_strided', 'aten::narrow', 'aten::slice', 'aten::as_strided'), 639.707999996026, 0.006393574526443426%, 24
('aten::flatten', 'aten::view', 'aten::empty', 'aten::random_', 'aten::log_softmax'), 568.613999999594, 0.005683024107560153%, 3
('aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 561.7989999996498, 0.005614911452414953%, 10
('aten::_log_softmax', 'aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty'), 484.3360000005923, 0.004840705934367754%, 3
('aten::nll_loss_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 366.93299999961164, 0.0036673192796143807%, 3
('aten::empty', 'aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided'), 357.8940000006696, 0.003576978811560024%, 3
('aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::flatten'), 329.77200000104494, 0.0032959129145705233%, 3
('aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 300.61100000084843, 0.0030044627110901363%, 3
('aten::copy_', 'aten::flatten', 'aten::view', 'aten::empty', 'aten::random_'), 263.0299999997951, 0.0026288586475384885%, 3
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::flatten', 'aten::view'), 256.9370000005001, 0.00256796203598235%, 3
('aten::empty_strided', 'aten::copy_', 'aten::flatten', 'aten::view', 'aten::empty'), 225.13400000019465, 0.0022501063101391583%, 3
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::resize_as_'), 215.6969999994617, 0.002155788023028308%, 3
('aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty', 'aten::empty'), 173.6930000006687, 0.0017359781966658412%, 3
('aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty', 'aten::empty', 'aten::resize_'), 160.85100000107195, 0.0016076285682939619%, 3
('aten::empty', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 119.55900000035763, 0.001194934840292891%, 2
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::resize_as_', 'aten::resize_'), 119.51199999975506, 0.0011944650978375877%, 3
('aten::empty', 'aten::zero_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 105.87799999990966, 0.0010581998094668266%, 3
('aten::empty', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 101.22399999992922, 0.0010116853124679966%, 1
('aten::nll_loss_forward', 'aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_'), 83.53100000100676, 0.0008348522666249292%, 3
('aten::resize_', 'aten::resize_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided'), 59.620999999693595, 0.000595883288690297%, 3
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::ones_like', 'aten::empty_like'), 57.995000000461005, 0.0005796321988568806%, 3
('aten::resize_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided', 'aten::fill_'), 57.94299999938812, 0.0005791124837958893%, 3
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::mul_'), 56.78000000002794, 0.0005674888568126263%, 1
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::mul_', 'aten::to'), 56.44699999992736, 0.0005641606815858635%, 1
('aten::empty_strided', 'aten::zero_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 49.360000000102445, 0.0004933295169481434%, 1
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_', 'aten::ones_like'), 48.598000000813045, 0.0004857136925647734%, 3
('aten::zero_', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 48.57800000021234, 0.0004855138021548203%, 1
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::zeros', 'aten::empty'), 44.91300000017509, 0.0004488838856307204%, 2
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::zeros'), 44.22099999990314, 0.00044196767765135314%, 2
('aten::addcdiv_', 'aten::addcdiv', 'aten::zeros', 'aten::empty', 'aten::zero_'), 43.78999999980442, 0.000437660039445257%, 2
('aten::empty', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 22.131999999517575, 0.0002211987210055846%, 2
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_', 'aten::zeros', 'aten::empty'), 17.583000000333413, 0.00017573364863544746%, 1
('aten::empty_strided', 'aten::copy_', 'aten::zeros', 'aten::empty', 'aten::zero_'), 14.800000000279397, 0.00014791889892534855%, 1
Total time: 10005482.806999959us
