kList(4),            Time(us),                Time%,   Calls (Top 294, sorted by calls)
-------------------------------------------------------------
('aten::view', 'aten::view', 'aten::view', 'aten::mm'), 5293.61499999994, 0.333455492914515%, 69
('aten::view', 'aten::view', 'aten::mm', 'aten::add'), 5662.552000000048, 0.3566955791673762%, 69
('aten::view', 'aten::mm', 'aten::add', 'aten::batch_norm'), 118679.96300000002, 7.475890400273132%, 69
('aten::mm', 'aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 231468.60999999978, 14.580674915306163%, 69
('aten::thnn_conv2d_backward', 'aten::empty', 'aten::empty', 'aten::view'), 17020.80200000049, 1.0721746709404802%, 69
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided'), 727.1710000010207, 0.0458059689339863%, 63
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 6304.552000000665, 0.3971364549113294%, 60
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 6420.97300000074, 0.40447004867298875%, 60
('aten::hardtanh_', 'aten::clamp_', 'aten::clamp', 'aten::mul'), 4364.448000000748, 0.27492538825359136%, 57
('aten::clamp_', 'aten::clamp', 'aten::mul', 'aten::empty'), 3470.250000000461, 0.21859805148027625%, 57
('aten::clamp', 'aten::mul', 'aten::empty', 'aten::div'), 5655.981000000439, 0.3562816586151995%, 57
('aten::mul', 'aten::empty', 'aten::div', 'aten::to'), 5585.241000000505, 0.3518256032411779%, 57
('aten::resize_', 'aten::zero_', 'aten::view', 'aten::select'), 544.1239999990357, 0.03427546896143714%, 57
('aten::zero_', 'aten::view', 'aten::select', 'aten::as_strided'), 479.62299999895913, 0.030212420789534778%, 57
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::matmul'), 2271.3669999996073, 0.14307799161341367%, 54
('aten::transpose', 'aten::as_strided', 'aten::matmul', 'aten::mm'), 3177.1249999993497, 0.2001335161181581%, 54
('aten::as_strided', 'aten::matmul', 'aten::mm', 'aten::empty'), 3051.3369999999413, 0.19220987612119306%, 54
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::t'), 709.1240000003309, 0.04466915197981446%, 54
('aten::transpose', 'aten::as_strided', 'aten::t', 'aten::transpose'), 549.6159999999072, 0.03462142112595556%, 54
('aten::as_strided', 'aten::t', 'aten::transpose', 'aten::as_strided'), 448.1429999995744, 0.02822943205371929%, 54
('aten::empty', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 39794.04700000002, 2.5067073365646224%, 52
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::conv2d'), 12317.21700000011, 0.7758863585791802%, 51
('aten::copy_', 'aten::empty', 'aten::conv2d', 'aten::convolution'), 24058.606000000218, 1.5155001492489104%, 51
('aten::empty', 'aten::add', 'aten::to', 'aten::empty_strided'), 1876.0869999996667, 0.1181785066226784%, 51
('aten::resize_as_', 'aten::resize_', 'aten::zero_', 'aten::transpose'), 799.0820000004169, 0.05033578796139472%, 51
('aten::resize_', 'aten::zero_', 'aten::transpose', 'aten::as_strided'), 720.5230000001175, 0.045387197996319524%, 51
('aten::zero_', 'aten::transpose', 'aten::as_strided', 'aten::select'), 800.5560000002879, 0.05042863819635004%, 51
('aten::view', 'aten::addmm_', 'aten::zero_', 'aten::resize_'), 4690.919999999867, 0.29549051844959073%, 51
('aten::addmm_', 'aten::zero_', 'aten::resize_', 'aten::zero_'), 7136.200999999783, 0.4495237039323806%, 51
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::add'), 2627.2790000000923, 0.1654976068280362%, 48
('aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 1344.2870000001467, 0.08467935129465%, 39
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 61660.670000000006, 3.884130052580228%, 36
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 46202.62300000031, 2.9103964731868084%, 36
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 30719.77500000017, 1.935100628747683%, 36
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::add'), 15675.234000000159, 0.9874146268703856%, 36
('aten::empty', 'aten::as_strided_', 'aten::add', 'aten::batch_norm'), 84572.18099999978, 5.327372372605644%, 36
('aten::as_strided_', 'aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 168094.0209999999, 10.588581645725734%, 36
('aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided'), 1243.7470000002095, 0.07834613377550574%, 36
('aten::expand', 'aten::as_strided', 'aten::to', 'aten::div'), 2172.3009999999485, 0.13683762432925042%, 36
('aten::as_strided', 'aten::to', 'aten::div', 'aten::to'), 2225.561999999598, 0.1401926422155159%, 36
('aten::to', 'aten::div', 'aten::to', 'aten::empty_strided'), 2230.5099999994854, 0.1405043267220211%, 36
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty', 'aten::as_strided_'), 27349.10100000046, 1.7227750704809683%, 36
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 47662.57200000042, 3.0023616073012263%, 33
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 36453.444000000294, 2.296276011279986%, 33
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 25884.11000000032, 1.6304923306103165%, 33
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty'), 25831.891000000513, 1.6272029504071022%, 33
('aten::zero_', 'aten::resize_', 'aten::zero_', 'aten::view'), 546.8089999998338, 0.034444602530603316%, 33
('aten::select', 'aten::as_strided', 'aten::add', 'aten::to'), 2623.7080000003643, 0.16527266233073007%, 30
('aten::as_strided', 'aten::add', 'aten::to', 'aten::empty_strided'), 2607.17400000004, 0.16423115230025812%, 30
('aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum', 'aten::empty'), 4083.0819999992445, 0.25720157603455246%, 30
('aten::mean', 'aten::sum', 'aten::empty', 'aten::fill_'), 2433.2579999993313, 0.15327583244682%, 30
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::div_'), 1477.15299999959, 0.09304884879709299%, 30
('aten::empty', 'aten::fill_', 'aten::div_', 'aten::to'), 1153.549000000089, 0.07266437970953307%, 30
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::adaptive_avg_pool2d'), 1665.1309999999112, 0.10488996241173865%, 27
('aten::select', 'aten::as_strided', 'aten::adaptive_avg_pool2d', 'aten::mean'), 3145.815999999996, 0.19816129901747268%, 27
('aten::as_strided', 'aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum'), 3712.790999999621, 0.2338761985889534%, 27
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::view'), 656.8270000005487, 0.04137485839917477%, 27
('aten::empty_strided', 'aten::copy_', 'aten::view', 'aten::t'), 597.0320000005913, 0.03760825066536538%, 27
('aten::copy_', 'aten::view', 'aten::t', 'aten::transpose'), 658.3180000003285, 0.041468779498435325%, 27
('aten::view', 'aten::t', 'aten::transpose', 'aten::as_strided'), 591.9900000001435, 0.037290644909105365%, 27
('aten::matmul', 'aten::mm', 'aten::empty', 'aten::relu_'), 2051.6000000000195, 0.12923442472930752%, 27
('aten::mm', 'aten::empty', 'aten::relu_', 'aten::threshold_'), 1299.4110000001037, 0.08185252148174402%, 27
('aten::empty', 'aten::relu_', 'aten::threshold_', 'aten::t'), 737.0689999999067, 0.04642946393097729%, 27
('aten::relu_', 'aten::threshold_', 'aten::t', 'aten::transpose'), 787.6989999996995, 0.049618749817123706%, 27
('aten::threshold_', 'aten::t', 'aten::transpose', 'aten::as_strided'), 414.84599999980765, 0.026131986820641908%, 27
('aten::matmul', 'aten::mm', 'aten::empty', 'aten::add'), 1830.188999999882, 0.11528729896709354%, 27
('aten::mm', 'aten::empty', 'aten::add', 'aten::to'), 1361.6399999997348, 0.08577245178805729%, 27
('aten::hardtanh_', 'aten::clamp_', 'aten::clamp', 'aten::div'), 924.3109999992794, 0.05822421542009978%, 27
('aten::clamp_', 'aten::clamp', 'aten::div', 'aten::to'), 796.6039999994, 0.05017969374000135%, 27
('aten::clamp', 'aten::div', 'aten::to', 'aten::empty_strided'), 706.0299999996423, 0.04447425467517347%, 27
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::view'), 241.42800000005082, 0.015208036992373525%, 27
('aten::copy_', 'aten::empty', 'aten::view', 'aten::expand_as'), 490.8160000002363, 0.030917490450365438%, 27
('aten::empty', 'aten::view', 'aten::expand_as', 'aten::expand'), 662.6570000003312, 0.04174210186580753%, 27
('aten::view', 'aten::expand_as', 'aten::expand', 'aten::as_strided'), 672.6220000005433, 0.04236981732810765%, 27
('aten::expand_as', 'aten::expand', 'aten::as_strided', 'aten::mul'), 1521.6070000003556, 0.09584909597832497%, 27
('aten::expand', 'aten::as_strided', 'aten::mul', 'aten::empty'), 1317.7760000000117, 0.08300936989768368%, 27
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add'), 853.0869999998249, 0.05373767190925477%, 27
('aten::as_strided', 'aten::mul', 'aten::empty', 'aten::add'), 1804.1509999999507, 0.1136471127947925%, 24
('aten::mul', 'aten::empty', 'aten::add', 'aten::to'), 1942.181999999968, 0.12234196407175348%, 24
('aten::zero_', 'aten::fill_', 'aten::resize_', 'aten::zero_'), 5129.15299999986, 0.3230956996020557%, 24
('aten::fill_', 'aten::resize_', 'aten::zero_', 'aten::view'), 2627.105999999767, 0.16548670920885103%, 24
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 7104.3369999999995, 0.44751652626151567%, 22
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 9584.946000000025, 0.6037750937665571%, 22
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 9617.471000000049, 0.6058239091615287%, 22
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 6170.610000000073, 0.3886991779971311%, 22
('aten::resize_as_', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 1387.3449999997392, 0.08739166161827146%, 21
('aten::resize_', 'aten::zero_', 'aten::fill_', 'aten::transpose'), 1409.222999999649, 0.0887698009944735%, 21
('aten::zero_', 'aten::fill_', 'aten::transpose', 'aten::as_strided'), 1405.9340000000375, 0.08856262024633328%, 21
('aten::fill_', 'aten::transpose', 'aten::as_strided', 'aten::select'), 779.5129999997444, 0.049103097155382476%, 21
('aten::view', 'aten::addmm_', 'aten::zero_', 'aten::fill_'), 2629.9610000003304, 0.1656665514211122%, 21
('aten::addmm_', 'aten::zero_', 'aten::fill_', 'aten::resize_'), 2649.3209999999963, 0.16688607689523788%, 21
('aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution'), 14927.954999999773, 0.9403420144326097%, 18
('aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 20810.397999999648, 1.3108889714943754%, 18
('aten::select', 'aten::as_strided', 'aten::add', 'aten::conv2d'), 2945.6120000000265, 0.18555004498720257%, 18
('aten::as_strided', 'aten::add', 'aten::conv2d', 'aten::convolution'), 5502.904000000024, 0.3466390294309815%, 18
('aten::add', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 8019.715000000277, 0.5051780339822696%, 18
('aten::zero_', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 4808.81700000001, 0.30291708843025433%, 18
('aten::transpose', 'aten::as_strided', 'aten::addmm_', 'aten::add'), 882.2709999997896, 0.05557603097110674%, 18
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::relu_'), 758.0349999998907, 0.04775015458650105%, 15
('aten::select', 'aten::as_strided', 'aten::relu_', 'aten::threshold_'), 1329.581999999902, 0.08375305366564041%, 15
('aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::conv2d'), 7744.048999999689, 0.4878132762675567%, 15
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::conv2d'), 2734.0979999998344, 0.172226351230028%, 15
('aten::select', 'aten::as_strided', 'aten::conv2d', 'aten::convolution'), 5362.370999999763, 0.3377865721242368%, 15
('aten::as_strided', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 7906.617999999809, 0.4980538256893905%, 15
('aten::resize_', 'aten::zero_', 'aten::fill_', 'aten::view'), 1091.7909999998228, 0.06877411864379564%, 15
('aten::zero_', 'aten::fill_', 'aten::view', 'aten::select'), 1099.4279999998253, 0.06925518868749717%, 15
('aten::fill_', 'aten::view', 'aten::select', 'aten::as_strided'), 573.3529999998573, 0.03611666266416626%, 15
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 4086.5049999999756, 0.2574171977132144%, 14
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 1998.122999999905, 0.1258658005670615%, 12
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_'), 2860.350000000006, 0.18017921952352894%, 12
('aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 1109.341000000044, 0.06987962856484649%, 10
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::fill_'), 1162.0929999999935, 0.07320258351381989%, 8
('aten::fill_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 958.8049999999639, 0.060397062099131336%, 8
('aten::mean', 'aten::sum', 'aten::empty', 'aten::as_strided'), 257.0940000000701, 0.0161948699509482%, 6
('aten::sum', 'aten::empty', 'aten::as_strided', 'aten::fill_'), 97.40899999989779, 0.0061359895098673164%, 6
('aten::empty', 'aten::as_strided', 'aten::fill_', 'aten::div_'), 87.8609999998007, 0.005534541719202487%, 6
('aten::as_strided', 'aten::fill_', 'aten::div_', 'aten::to'), 108.27899999980582, 0.0068207127487031885%, 6
('aten::unsqueeze', 'aten::as_strided', 'aten::expand', 'aten::as_strided'), 78.9870000002993, 0.004975550548904463%, 6
('aten::as_strided', 'aten::expand', 'aten::as_strided', 'aten::to'), 45.917000000103144, 0.0028924045039524695%, 6
('aten::as_strided', 'aten::mul', 'aten::empty', 'aten::relu_'), 188.93700000006538, 0.011901522960172252%, 3
('aten::mul', 'aten::empty', 'aten::relu_', 'aten::threshold_'), 216.97300000004452, 0.013667567185025115%, 3
('aten::empty', 'aten::relu_', 'aten::threshold_', 'aten::conv2d'), 470.9740000000829, 0.02966760282339199%, 3
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::adaptive_avg_pool2d'), 143.46899999970628, 0.009037401872417083%, 3
('aten::copy_', 'aten::empty', 'aten::adaptive_avg_pool2d', 'aten::mean'), 261.7699999996694, 0.016489420628459633%, 3
('aten::empty', 'aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum'), 316.9639999997162, 0.019966202086109944%, 3
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::conv2d'), 1116.6540000000532, 0.07034028919462158%, 3
('aten::empty_strided', 'aten::copy_', 'aten::conv2d', 'aten::convolution'), 2173.0190000000875, 0.1368828525983933%, 3
('aten::copy_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 3227.433000000092, 0.20330251857447412%, 3
('aten::view', 'aten::view', 'aten::view', 'aten::unsqueeze'), 16.703000000023167, 0.0010521556815444517%, 3
('aten::view', 'aten::view', 'aten::unsqueeze', 'aten::as_strided'), 17.117000000042026, 0.001078234377118818%, 3
('aten::view', 'aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze'), 20.80099999997765, 0.0013102969725050748%, 3
('aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided'), 20.462000000014086, 0.0012889426783061443%, 3
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::copy_'), 24.888999999922817, 0.0015678083432821843%, 3
('aten::unsqueeze', 'aten::as_strided', 'aten::copy_', 'aten::addmm_'), 801.3129999999801, 0.05047632315417822%, 3
('aten::as_strided', 'aten::copy_', 'aten::addmm_', 'aten::add'), 868.2350000000151, 0.05469187500236459%, 3
('aten::copy_', 'aten::addmm_', 'aten::add', 'aten::to'), 895.0139999999956, 0.05637873826022362%, 3
('aten::addmm_', 'aten::add', 'aten::to', 'aten::empty_strided'), 885.3279999999941, 0.05576859757104041%, 3
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::mean'), 112.27500000006694, 0.0070724288538172725%, 3
('aten::copy_', 'aten::empty', 'aten::mean', 'aten::sum'), 151.4830000001093, 0.009542219907040178%, 3
('aten::empty', 'aten::mean', 'aten::sum', 'aten::empty'), 148.79000000011, 0.009372582401777978%, 3
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::mean'), 96.05099999980303, 0.006050446349019859%, 3
