kList(5),            Time(us),                Time%,   Calls (Top 327, sorted by calls)
-------------------------------------------------------------
('aten::copy_', 'aten::hardtanh_', 'aten::clamp_', 'aten::clamp', 'aten::mul'), 4546.936000000356, 0.2864206756877652%, 57
('aten::hardtanh_', 'aten::clamp_', 'aten::clamp', 'aten::mul', 'aten::empty'), 4481.467000000781, 0.28229665124218706%, 57
('aten::clamp_', 'aten::clamp', 'aten::mul', 'aten::empty', 'aten::div'), 6239.589000000615, 0.3930443044269774%, 57
('aten::clamp', 'aten::mul', 'aten::empty', 'aten::div', 'aten::to'), 6042.25300000057, 0.3806137115051661%, 57
('aten::mul', 'aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 5647.103000000517, 0.3557224154768018%, 57
('aten::resize_', 'aten::zero_', 'aten::view', 'aten::select', 'aten::as_strided'), 574.9409999986965, 0.03621669398914195%, 57
('aten::zero_', 'aten::view', 'aten::select', 'aten::as_strided', 'aten::select'), 607.8669999985868, 0.038290769183440536%, 57
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::matmul', 'aten::mm'), 3662.9449999993994, 0.23073629844512147%, 54
('aten::transpose', 'aten::as_strided', 'aten::matmul', 'aten::mm', 'aten::empty'), 3243.9679999997215, 0.2043440915969206%, 54
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::t'), 806.4460000009567, 0.05079966118413618%, 54
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::t', 'aten::transpose'), 828.6840000000375, 0.05220047768687136%, 54
('aten::transpose', 'aten::as_strided', 'aten::t', 'aten::transpose', 'aten::as_strided'), 575.4619999996503, 0.036249512830732536%, 54
('aten::as_strided', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 482.7519999998767, 0.030409522814830444%, 54
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::conv2d'), 12665.689000000339, 0.7978373131776888%, 51
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::conv2d', 'aten::convolution'), 24114.715000000175, 1.519034568403293%, 51
('aten::copy_', 'aten::empty', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 35628.322000000095, 2.2442999111622632%, 51
('aten::empty', 'aten::add', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 2014.5469999995657, 0.12690038147547947%, 51
('aten::resize_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_', 'aten::transpose'), 908.8580000002839, 0.05725079976148594%, 51
('aten::resize_as_', 'aten::resize_', 'aten::zero_', 'aten::transpose', 'aten::as_strided'), 849.2290000003559, 0.053494648702714975%, 51
('aten::resize_', 'aten::zero_', 'aten::transpose', 'aten::as_strided', 'aten::select'), 847.0760000004375, 0.053359026887335924%, 51
('aten::zero_', 'aten::transpose', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 827.5420000003651, 0.052128540802001744%, 51
('aten::reshape', 'aten::view', 'aten::addmm_', 'aten::zero_', 'aten::resize_'), 4819.215999999855, 0.30357214242847036%, 51
('aten::view', 'aten::addmm_', 'aten::zero_', 'aten::resize_', 'aten::zero_'), 7175.643999999738, 0.45200829810989696%, 51
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::add'), 2719.2180000003214, 0.17128902999786327%, 48
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 61926.38199999999, 3.900867787744817%, 36
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 46255.21400000033, 2.9137092864208407%, 36
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::add'), 31028.07000000029, 1.9545207530272395%, 36
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::add', 'aten::batch_norm'), 99620.8169999998, 6.275316326797851%, 36
('aten::empty', 'aten::as_strided_', 'aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 168359.73299999986, 10.605319380890323%, 36
('aten::as_strided_', 'aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty'), 168122.3469999998, 10.590365957635887%, 36
('aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 1361.3810000000985, 0.08575613685534239%, 36
('aten::expand', 'aten::as_strided', 'aten::to', 'aten::div', 'aten::to'), 2444.619999999777, 0.15399154775868978%, 36
('aten::as_strided', 'aten::to', 'aten::div', 'aten::to', 'aten::empty_strided'), 2265.788999999597, 0.14272662213537632%, 36
('aten::to', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 2331.4829999995854, 0.14686481978509633%, 36
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 73253.04100000052, 4.614356898668042%, 33
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 36583.19200000026, 2.3044490996694256%, 33
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty'), 25957.602000000727, 1.6351217400187092%, 33
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty', 'aten::as_strided_'), 25858.527000000453, 1.6288808058063426%, 33
('aten::addmm_', 'aten::zero_', 'aten::resize_', 'aten::zero_', 'aten::view'), 2424.055999999895, 0.1526961798945261%, 33
('aten::zero_', 'aten::resize_', 'aten::zero_', 'aten::view', 'aten::select'), 637.1009999996459, 0.04013227784627607%, 33
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::add', 'aten::to'), 2639.057000000197, 0.16623952681949422%, 30
('aten::select', 'aten::as_strided', 'aten::add', 'aten::to', 'aten::empty_strided'), 2669.8260000002865, 0.168177728230348%, 30
('aten::as_strided', 'aten::add', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 2722.4439999999345, 0.17149224224885115%, 30
('aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum', 'aten::empty', 'aten::fill_'), 4153.196999999233, 0.2616182613971445%, 30
('aten::mean', 'aten::sum', 'aten::empty', 'aten::fill_', 'aten::div_'), 3092.061999999466, 0.19477522606613337%, 30
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::div_', 'aten::to'), 1833.8319999997811, 0.11551677888972749%, 30
