kList(5),            Time(us),                Time%,   Calls (Top 170, sorted by time)
-------------------------------------------------------------
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 92672.21799983457, 0.07039507334346591%, 483
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 64863.15700001642, 0.04927093354248898%, 86
('aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 64849.182000059634, 0.04926031794303355%, 72
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 59340.57600000501, 0.04507590613371661%, 233
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 46220.142000008374, 0.03510944656619535%, 88
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_'), 42736.65200000256, 0.03246334032924226%, 86
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 33691.76800000295, 0.025592723802461265%, 233
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 32724.540000040084, 0.024858004298959565%, 233
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 32345.02600003779, 0.024569720318693967%, 233
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 26630.119999848306, 0.020228600232034658%, 483
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 26336.18999992311, 0.020005327018668643%, 483
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 26304.908999804407, 0.019981565546836628%, 483
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 26138.66299990937, 0.01985528283117216%, 483
('aten::expand', 'aten::as_strided', 'aten::to', 'aten::div', 'aten::to'), 15162.16199998837, 0.011517383840285321%, 3
('aten::to', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 15154.711999995634, 0.011511724719275631%, 3
('aten::as_strided', 'aten::to', 'aten::div', 'aten::to', 'aten::empty_strided'), 15143.299999987707, 0.011503056009333292%, 3
('aten::add_', 'aten::relu_', 'aten::threshold_', 'aten::adaptive_avg_pool2d', 'aten::mean'), 14508.623999986798, 0.011020947514104644%, 3
('aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided', 'aten::select'), 13220.399999984831, 0.010042395096560117%, 318
('aten::relu_', 'aten::threshold_', 'aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum'), 12007.307999991812, 0.009120913964943814%, 3
('aten::as_strided', 'aten::add_', 'aten::relu_', 'aten::threshold_', 'aten::adaptive_avg_pool2d'), 11912.650999985635, 0.009049011224276496%, 3
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided'), 11407.38000000082, 0.0086652005216739%, 6
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 11401.305999999866, 0.008660586628915274%, 6
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 11379.410000005737, 0.008643954130429935%, 6
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 11336.565000009723, 0.00861140848749382%, 6
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 11335.725000002421, 0.00861077041209864%, 6
('aten::empty', 'aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 10126.476999951643, 0.007692209234959598%, 477
('aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select'), 9861.259000074526, 0.007490746046138647%, 159
('aten::threshold_', 'aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum', 'aten::empty'), 9791.174999992363, 0.007437509289401087%, 3
('aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided'), 9573.323000041535, 0.007272025956363924%, 159
