kList(4),            Time(us),                Time%,   Calls (Top 122, sorted by time)
-------------------------------------------------------------
('aten::as_strided', 'aten::sum', 'aten::empty', 'aten::fill_'), 19.562000000000012, 0.0498740057992236%, 1
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 19.06000000000006, 0.04859413917458359%, 1
('aten::slice', 'aten::as_strided', 'aten::sub', 'aten::empty'), 18.563999999999965, 0.04732956976059628%, 1
('aten::expand_as', 'aten::expand', 'aten::as_strided', 'aten::div_'), 18.047000000000025, 0.04601146010932364%, 1
('aten::as_strided', 'aten::sub', 'aten::empty', 'aten::slice'), 18.039999999999992, 0.04599361336356164%, 1
('aten::empty', 'aten::zero_', 'aten::ones_like', 'aten::empty_like'), 17.426999999999964, 0.04443074834183965%, 1
('aten::empty', 'aten::arange', 'aten::resize_', 'aten::as_strided'), 17.366000000000895, 0.044275226700202494%, 1
('aten::empty', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 17.2410000000001, 0.04395653481159485%, 1
('aten::resize_', 'aten::as_strided', 'aten::copy_', 'aten::index_select'), 17.213999999999942, 0.043887697363655644%, 1
('aten::sub', 'aten::empty', 'aten::slice', 'aten::as_strided'), 16.81000000000003, 0.04285768517968253%, 1
('aten::as_strided', 'aten::copy_', 'aten::index_select', 'aten::empty'), 16.784999999999854, 0.04279394680196096%, 1
('aten::unsqueeze', 'aten::as_strided', 'aten::expand_as', 'aten::expand'), 16.740999999999985, 0.04268176725717212%, 1
('aten::resize_', 'aten::zero_', 'aten::ones_like', 'aten::empty_like'), 16.596000000000004, 0.04231208466638966%, 1
('aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty_strided'), 16.551000000000016, 0.042197355586491674%, 1
('aten::copy_', 'aten::index_select', 'aten::empty', 'aten::resize_'), 16.40099999999984, 0.04181492532016449%, 1
('aten::slice', 'aten::as_strided', 'aten::copy_', 'aten::select'), 16.23100000000005, 0.041381504351661394%, 1
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::slice'), 16.170000000000044, 0.04122598271002184%, 1
('aten::copy_', 'aten::unsqueeze', 'aten::as_strided', 'aten::expand_as'), 16.12700000000001, 0.041116352700341426%, 1
('aten::empty_like', 'aten::empty_strided', 'aten::fill_', 'aten::sub_'), 15.015000000000015, 0.03828126965930593%, 1
('aten::slice', 'aten::as_strided', 'aten::slice', 'aten::as_strided'), 14.73999999999998, 0.0375801475043735%, 1
('aten::empty', 'aten::resize_', 'aten::zero_', 'aten::ones_like'), 14.215999999999951, 0.03624419110733871%, 1
('aten::as_strided', 'aten::expand_as', 'aten::expand', 'aten::as_strided'), 13.872000000000014, 0.03536715102989623%, 1
('aten::as_strided', 'aten::copy_', 'aten::select', 'aten::as_strided'), 13.81000000000003, 0.03520907985314789%, 1
('aten::ones_like', 'aten::empty_like', 'aten::empty_strided', 'aten::fill_'), 13.683999999999969, 0.03488783842943328%, 1
('aten::zero_', 'aten::slice', 'aten::as_strided', 'aten::slice'), 13.456000000000017, 0.03430654442461677%, 1
('aten::resize_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided'), 13.193999999999846, 0.033638566226098975%, 1
('aten::as_strided', 'aten::empty_like', 'aten::empty_strided', 'aten::fill_'), 13.165999999999997, 0.0335671792430517%, 1
('aten::copy_', 'aten::empty', 'aten::empty', 'aten::zeros'), 12.822999999999979, 0.032692688700717856%, 1
('aten::resize_', 'aten::resize_', 'aten::ones_like', 'aten::empty_like'), 12.821999999999889, 0.032690139165608784%, 1
('aten::empty', 'aten::empty', 'aten::zeros', 'aten::empty'), 12.682999999999964, 0.03233575378547954%, 1
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::resize_as_'), 12.517000000000053, 0.03191253095741151%, 1
('aten::empty', 'aten::zeros', 'aten::empty', 'aten::zero_'), 11.79099999999994, 0.030061568468389845%, 1
('aten::empty', 'aten::slice', 'aten::as_strided', 'aten::copy_'), 11.53800000000004, 0.02941653608585234%, 1
('aten::empty', 'aten::zero_', 'aten::slice', 'aten::as_strided'), 11.276000000000039, 0.028748557887334977%, 1
('aten::empty_like', 'aten::empty', 'aten::resize_', 'aten::zero_'), 10.83299999999997, 0.027619113834116527%, 1
('aten::empty_strided', 'aten::fill_', 'aten::sub_', 'aten::select'), 10.527000000000015, 0.026838956090810107%, 1
('aten::empty_strided', 'aten::copy_', 'aten::unsqueeze', 'aten::as_strided'), 10.434000000000026, 0.026601849325687557%, 1
('aten::empty_like', 'aten::empty', 'aten::fill_', 'aten::index_add_'), 9.894999999999925, 0.025227649902019908%, 1
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::ones_like'), 9.530999999999949, 0.024299619122400435%, 1
('aten::index_add_', 'aten::select', 'aten::as_strided', 'aten::sub_'), 9.340999999999951, 0.023815207451719913%, 1
('aten::empty', 'aten::fill_', 'aten::index_add_', 'aten::select'), 8.868999999999915, 0.022611826880345035%, 1
('aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_'), 8.623000000000161, 0.021984641243569823%, 1
('aten::fill_', 'aten::index_add_', 'aten::select', 'aten::as_strided'), 8.309999999999917, 0.021186636754500752%, 1
('aten::fill_', 'aten::sub_', 'aten::select', 'aten::as_strided'), 8.247000000000014, 0.021026016042643772%, 1
('aten::select', 'aten::as_strided', 'aten::copy_', 'aten::empty'), 8.14900000000003, 0.02077616160197701%, 1
('aten::empty', 'aten::zero_', 'aten::resize_as_', 'aten::resize_'), 7.898000000000138, 0.020136228289657224%, 1
('aten::sub_', 'aten::select', 'aten::as_strided', 'aten::copy_'), 7.692000000000036, 0.019611024057234916%, 1
('aten::zero_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 5.634000000000128, 0.014364080803232388%, 1
('aten::as_strided', 'aten::copy_', 'aten::empty', 'aten::empty'), 5.525000000000006, 0.014086181476367983%, 1
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_'), 2.5539999999999736, 0.0065115126679897595%, 1
Total time: 39222.836999999985us
