kList(5),            Time(us),                Time%,   Calls (Top 120, sorted by calls)
-------------------------------------------------------------
('aten::resize_', 'aten::resize_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided'), 14.141999999999825, 0.03605552550928386%, 1
('aten::resize_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided', 'aten::fill_'), 14.229999999999905, 0.036279884598862416%, 1
('aten::nll_loss_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 45.18400000000008, 0.11519819435804733%, 1
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::resize_as_'), 23.17100000000005, 0.059075278007044874%, 1
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::resize_as_', 'aten::resize_'), 13.026000000000067, 0.033210244327813596%, 1
('aten::empty', 'aten::zero_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 8.21400000000017, 0.020941881384052285%, 1
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 15.970000000000027, 0.04071607568825282%, 1
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::sum'), 32.08800000000008, 0.08180948257261475%, 1
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::sum', 'aten::empty'), 31.442999999999984, 0.08016503242740956%, 1
('aten::transpose', 'aten::as_strided', 'aten::sum', 'aten::empty', 'aten::fill_'), 24.270999999999958, 0.06187976662677401%, 1
('aten::as_strided', 'aten::sum', 'aten::empty', 'aten::fill_', 'aten::view'), 23.379999999999995, 0.059608130844793314%, 1
('aten::_embedding_bag_backward', 'aten::_embedding_bag_dense_backward', 'aten::zeros', 'aten::empty', 'aten::zero_'), 20451.241, 52.14115694894791%, 1
('aten::_embedding_bag_dense_backward', 'aten::zeros', 'aten::empty', 'aten::zero_', 'aten::fill_'), 19743.831, 50.33759031759993%, 1
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::fill_', 'aten::sort'), 14471.065, 36.894488279876356%, 1
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::sort', 'aten::empty'), 9690.779, 24.70698129255669%, 1
('aten::zero_', 'aten::fill_', 'aten::sort', 'aten::empty', 'aten::empty'), 9676.914, 24.67163198827256%, 1
('aten::fill_', 'aten::sort', 'aten::empty', 'aten::empty', 'aten::resize_'), 4949.229, 12.618233097213244%, 1
('aten::sort', 'aten::empty', 'aten::empty', 'aten::resize_', 'aten::copy_'), 210.09599999999955, 0.5356471282278731%, 1
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::copy_', 'aten::resize_'), 45.80699999999888, 0.11678655473085463%, 1
('aten::empty', 'aten::resize_', 'aten::copy_', 'aten::resize_', 'aten::arange'), 65.52999999999884, 0.16707103568260212%, 1
('aten::resize_', 'aten::copy_', 'aten::resize_', 'aten::arange', 'aten::empty'), 63.35099999999966, 0.1615155986804312%, 1
('aten::copy_', 'aten::resize_', 'aten::arange', 'aten::empty', 'aten::arange'), 51.0679999999993, 0.13019965893848862%, 1
('aten::resize_', 'aten::arange', 'aten::empty', 'aten::arange', 'aten::resize_'), 41.57300000000032, 0.10599182308000905%, 1
('aten::arange', 'aten::empty', 'aten::arange', 'aten::resize_', 'aten::as_strided'), 38.73000000000047, 0.09874349476556346%, 1
('aten::empty', 'aten::arange', 'aten::resize_', 'aten::as_strided', 'aten::copy_'), 21.549000000000888, 0.05493993206050061%, 1
('aten::arange', 'aten::resize_', 'aten::as_strided', 'aten::copy_', 'aten::index_select'), 31.067000000000007, 0.07920640722648395%, 1
('aten::resize_', 'aten::as_strided', 'aten::copy_', 'aten::index_select', 'aten::empty'), 17.775000000000546, 0.04531798655971916%, 1
('aten::as_strided', 'aten::copy_', 'aten::index_select', 'aten::empty', 'aten::resize_'), 17.72699999999986, 0.04519560887449286%, 1
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_', 'aten::zeros', 'aten::empty'), 8590.238, 21.901113374333434%, 1
('aten::empty_strided', 'aten::copy_', 'aten::zeros', 'aten::empty', 'aten::zero_'), 8562.822999999999, 21.831217869324448%, 1
Total time: 39222.836999999985us
