kList(4),            Time(us),                Time%,   Calls (Top 320, sorted by time)
-------------------------------------------------------------
('aten::fill_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 85598.93099999987, 0.46781289803257964%, 1
('aten::_unsafe_view', 'aten::view', 'aten::mul', 'aten::to'), 76972.03299999982, 0.42066541491259196%, 1
('aten::empty', 'aten::_unsafe_view', 'aten::view', 'aten::mul'), 76946.61399999913, 0.42052649570044176%, 1
('aten::view', 'aten::mul', 'aten::to', 'aten::empty_strided'), 76879.46100000013, 0.42015949299171507%, 1
('aten::conj', 'aten::mul', 'aten::to', 'aten::empty_strided'), 76337.99799999874, 0.4172003044568949%, 1
('aten::empty', 'aten::copy_', 'aten::view', 'aten::expand'), 75831.11900000018, 0.4144301234374475%, 18
('aten::copy_', 'aten::view', 'aten::expand', 'aten::as_strided'), 75694.03000000105, 0.41368090844575583%, 18
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 73609.7059999872, 0.4022897188655339%, 187
('aten::transpose', 'aten::as_strided', 'aten::contiguous', 'aten::empty_like'), 72643.38999999902, 0.39700863552619037%, 18
('aten::copy_', 'aten::view', 'aten::t', 'aten::transpose'), 72619.8250000004, 0.3968798487433099%, 18
('aten::empty', 'aten::copy_', 'aten::view', 'aten::t'), 72244.39900000094, 0.394828081005036%, 18
('aten::view', 'aten::transpose', 'aten::as_strided', 'aten::contiguous'), 72180.39099999897, 0.3944782662628614%, 18
('aten::unsqueeze', 'aten::as_strided', 'aten::div', 'aten::to'), 70227.24100000015, 0.3838039651808563%, 18
('aten::as_strided', 'aten::div', 'aten::to', 'aten::empty_strided'), 69440.17500000051, 0.3795025139582617%, 18
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::div'), 69050.05700000026, 0.3773704519100243%, 18
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 65236.535000003874, 0.3565288974923726%, 187
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 61496.15899997018, 0.3360870985602426%, 176
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 61363.29899996705, 0.33536099578176193%, 176
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 61295.47999997251, 0.33499035326837445%, 176
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::view'), 58576.99899999797, 0.32013338648166784%, 24
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::fill_'), 54902.70000000112, 0.3000527097331843%, 2
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 52965.802000038326, 0.28946722862996704%, 187
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 52700.5630000215, 0.2880176518207761%, 187
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 52589.23200002313, 0.2874092087346106%, 187
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 45377.58400003612, 0.247996310570441%, 187
('aten::conj', 'aten::div', 'aten::to', 'aten::empty_strided'), 44942.726999993436, 0.24561974218292548%, 18
('aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 39567.77000000078, 0.2162446766115217%, 50
('aten::empty', 'aten::div_', 'aten::to', 'aten::empty_strided'), 39400.571000002456, 0.21533090528489887%, 50
