kList(5),            Time(us),                Time%,   Calls (Top 342, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::add_'), 373277.0309998691, 2.040023252639056%, 3732
('aten::bmm', 'aten::empty', 'aten::resize_', 'aten::_unsafe_view', 'aten::view'), 126648.65199999792, 0.6921566920507312%, 36
('aten::conj', 'aten::bmm', 'aten::empty', 'aten::resize_', 'aten::transpose'), 129747.32899999898, 0.7090914954472526%, 36
('aten::bmm', 'aten::empty', 'aten::resize_', 'aten::transpose', 'aten::as_strided'), 129791.28299999982, 0.7093317116261265%, 36
('aten::empty', 'aten::resize_', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 4370.209999989718, 0.02388395019916958%, 36
('aten::resize_', 'aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::bmm'), 136333.88399998937, 0.74508815272556%, 36
('aten::layer_norm', 'aten::native_layer_norm', 'aten::empty', 'aten::empty', 'aten::empty'), 259195.6339999991, 1.4165487732426425%, 32
('aten::native_layer_norm', 'aten::empty', 'aten::empty', 'aten::empty', 'aten::view'), 131516.86599999864, 0.718762319866143%, 32
('aten::empty', 'aten::empty', 'aten::empty', 'aten::view', 'aten::view'), 4553.56799999812, 0.024886033243423818%, 32
('aten::native_layer_norm_backward', 'aten::empty', 'aten::empty', 'aten::empty', 'aten::empty'), 97636.23099999595, 0.5335988153530395%, 32
('aten::empty', 'aten::empty', 'aten::empty', 'aten::empty', 'aten::resize_'), 2549.8929999955, 0.013935604336003745%, 32
('aten::empty', 'aten::empty', 'aten::empty', 'aten::resize_', 'aten::zero_'), 2472.2649999968708, 0.013511353948486267%, 32
('aten::empty', 'aten::empty', 'aten::view', 'aten::view', 'aten::t'), 6720.863999998526, 0.036730679091332936%, 31
('aten::empty', 'aten::view', 'aten::view', 'aten::t', 'aten::transpose'), 7515.338999998425, 0.041072621774757186%, 31
('aten::empty_strided', 'aten::copy_', 'aten::mul', 'aten::empty', 'aten::add_'), 174776.05599999952, 0.9551812424393983%, 30
('aten::copy_', 'aten::mul', 'aten::empty', 'aten::add_', 'aten::layer_norm'), 299728.4119999992, 1.6380673847483314%, 30
('aten::mul', 'aten::empty', 'aten::add_', 'aten::layer_norm', 'aten::native_layer_norm'), 423327.97100000124, 2.3135602585009236%, 30
('aten::empty', 'aten::add_', 'aten::layer_norm', 'aten::native_layer_norm', 'aten::empty'), 303461.57400000055, 1.6584697579280356%, 30
('aten::add_', 'aten::layer_norm', 'aten::native_layer_norm', 'aten::empty', 'aten::empty'), 303145.8309999993, 1.6567441680621515%, 30
('aten::mm', 'aten::empty', 'aten::_unsafe_view', 'aten::view', 'aten::add_'), 1338441.778000002, 7.3148147961574495%, 24
('aten::empty', 'aten::_unsafe_view', 'aten::view', 'aten::view', 'aten::transpose'), 5346.3790000003355, 0.029218881880320284%, 18
('aten::_unsafe_view', 'aten::view', 'aten::view', 'aten::transpose', 'aten::as_strided'), 5114.79400000006, 0.027953229976431387%, 18
('aten::view', 'aten::view', 'aten::transpose', 'aten::as_strided', 'aten::transpose'), 4543.818999999421, 0.024832753279655218%, 18
('aten::view', 'aten::transpose', 'aten::as_strided', 'aten::transpose', 'aten::as_strided'), 4447.0030000004335, 0.02430363716796629%, 18
('aten::transpose', 'aten::as_strided', 'aten::transpose', 'aten::as_strided', 'aten::transpose'), 4466.060000000405, 0.024407786954577453%, 18
('aten::as_strided', 'aten::transpose', 'aten::as_strided', 'aten::transpose', 'aten::as_strided'), 3509.4450000008, 0.019179721250681545%, 18
('aten::transpose', 'aten::as_strided', 'aten::transpose', 'aten::as_strided', 'aten::unsqueeze'), 4329.537000001095, 0.02366166525034987%, 18
('aten::as_strided', 'aten::transpose', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided'), 3492.0660000004063, 0.019084742023019317%, 18
('aten::transpose', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::div'), 70224.27100000042, 0.38378773361942436%, 18
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::div', 'aten::to'), 70594.88500000065, 0.38581320294907706%, 18
('aten::unsqueeze', 'aten::as_strided', 'aten::div', 'aten::to', 'aten::empty_strided'), 70649.84600000056, 0.386113574278349%, 18
('aten::as_strided', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 70025.45700000023, 0.38270118087369515%, 18
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty_strided'), 70259.70900000204, 0.3839814083918493%, 18
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty_strided', 'aten::transpose'), 4813.273000002977, 0.026305365789595723%, 18
('aten::empty_strided', 'aten::copy_', 'aten::empty_strided', 'aten::transpose', 'aten::as_strided'), 3700.9790000021385, 0.020226487542802627%, 18
('aten::copy_', 'aten::empty_strided', 'aten::transpose', 'aten::as_strided', 'aten::matmul'), 224380.74300000165, 1.2262793988108847%, 18
('aten::empty_strided', 'aten::transpose', 'aten::as_strided', 'aten::matmul', 'aten::expand'), 225051.35900000195, 1.2299444307308178%, 18
('aten::transpose', 'aten::as_strided', 'aten::matmul', 'aten::expand', 'aten::as_strided'), 224843.62800000072, 1.2288091450445775%, 18
('aten::as_strided', 'aten::matmul', 'aten::expand', 'aten::as_strided', 'aten::contiguous'), 297400.2079999989, 1.6253433489720996%, 18
('aten::matmul', 'aten::expand', 'aten::as_strided', 'aten::contiguous', 'aten::empty_like'), 297949.9989999989, 1.6283480514609923%, 18
