kList(5),            Time(us),                Time%,   Calls (Top 180, sorted by time)
-------------------------------------------------------------
('aten::threshold_', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 5842858.403000006, 42.15036582992567%, 1408
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_', 'aten::empty', 'aten::as_strided_'), 276540.3009999973, 1.9949610361741352%, 768
('aten::sub', 'aten::empty', 'aten::select', 'aten::as_strided', 'aten::conv2d'), 234747.685999993, 1.6934692166333871%, 160
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_'), 206923.90399998965, 1.4927485232361146%, 576
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_', 'aten::empty'), 206537.12899998692, 1.4899583293584717%, 576
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_', 'aten::empty'), 140951.48000000775, 1.016823622359101%, 192
('aten::_local_scalar_dense', 'aten::select', 'aten::as_strided', 'aten::conv2d', 'aten::convolution'), 109814.35499999947, 0.7922004808897469%, 191
('aten::empty', 'aten::sub', 'aten::empty', 'aten::mul', 'aten::to'), 87220.51999998835, 0.6292086120020002%, 2720
('aten::sub', 'aten::empty', 'aten::mul', 'aten::to', 'aten::empty_strided'), 85955.2959999959, 0.6200812892469079%, 2720
('aten::copy_', 'aten::empty', 'aten::sub', 'aten::empty', 'aten::mul'), 76962.3219999813, 0.5552059974197092%, 2720
('aten::mul', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 73416.23899999727, 0.5296245635729019%, 2880
('aten::empty', 'aten::mul', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 64703.6140000064, 0.46677170872705925%, 2720
('aten::item', 'aten::_local_scalar_dense', 'aten::select', 'aten::as_strided', 'aten::conv2d'), 57035.88299999667, 0.41145671657015087%, 191
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::sub'), 55947.97999998434, 0.403608587063119%, 2880
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::sub', 'aten::empty'), 41068.01999999012, 0.29626459303232333%, 2880
('aten::empty', 'aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 35032.41500001607, 0.2527237537364041%, 3584
('aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided', 'aten::select'), 30147.41600000514, 0.21748338323152233%, 2176
('aten::log_softmax', 'aten::_log_softmax', 'aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward'), 24578.99899999454, 0.17731283699279915%, 352
('aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select'), 21279.101999985407, 0.1535073883308835%, 1408
('aten::as_strided', 'aten::log_softmax', 'aten::_log_softmax', 'aten::empty', 'aten::nll_loss'), 19424.181999992412, 0.1401260001143205%, 352
('aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided'), 18718.454999989415, 0.13503488731054128%, 1408
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty'), 18145.693999992178, 0.13090299089651866%, 1408
('aten::_log_softmax', 'aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty'), 18085.891999992913, 0.13047157941887%, 352
('aten::view', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm'), 17549.157999997362, 0.12659958169228538%, 352
('aten::copy_', 'aten::select', 'aten::as_strided', 'aten::log_softmax', 'aten::_log_softmax'), 17133.41000000645, 0.12360037666556778%, 352
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::empty_like'), 16846.99199998702, 0.12153415793350061%, 1408
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty'), 15602.321999993695, 0.11255511168272805%, 352
('aten::select', 'aten::as_strided', 'aten::log_softmax', 'aten::_log_softmax', 'aten::empty'), 15587.00000000168, 0.11244457881330613%, 352
('aten::empty', 'aten::empty', 'aten::select', 'aten::as_strided', 'aten::select'), 15183.648999990954, 0.10953480571327873%, 1408
('aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_'), 14783.902000006889, 0.10665103186038297%, 352
('aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand'), 13938.237000001656, 0.10055040667640064%, 352
('aten::add_', 'aten::softmax', 'aten::_softmax', 'aten::empty', 'aten::argmax'), 13679.910999999498, 0.09868684356183302%, 186
('aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided'), 13087.361000005045, 0.09441218935158129%, 352
('aten::softmax', 'aten::_softmax', 'aten::empty', 'aten::argmax', 'aten::empty'), 12730.400000002504, 0.09183707359498554%, 192
('aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty', 'aten::empty'), 12537.733999997392, 0.09044718155532319%, 352
('aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty', 'aten::empty', 'aten::resize_'), 12473.464999998272, 0.08998354515090588%, 352
('aten::as_strided', 'aten::copy_', 'aten::select', 'aten::as_strided', 'aten::log_softmax'), 11676.344000014455, 0.08423311626103534%, 352
('aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty', 'aten::empty_like'), 9481.376999998367, 0.06839862984120545%, 768
('aten::_softmax', 'aten::empty', 'aten::argmax', 'aten::empty', 'aten::resize_'), 9296.302000001502, 0.06706349925651835%, 192
('aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty', 'aten::select'), 8383.59699999042, 0.060479247681036616%, 768
('aten::resize_', 'aten::add_', 'aten::softmax', 'aten::_softmax', 'aten::empty'), 8311.98800000141, 0.059962660535145464%, 186
('aten::resize_', 'aten::resize_', 'aten::add_', 'aten::softmax', 'aten::_softmax'), 8304.828999997262, 0.05991101552711373%, 186
('aten::as_strided_', 'aten::mul', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 8091.0539999973535, 0.05836884321455829%, 160
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 7845.994000029837, 0.056600980990889%, 384
('aten::eq', 'aten::empty', 'aten::eq', 'aten::resize_', 'aten::sum'), 7840.944000004267, 0.05656455030340055%, 192
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided'), 7518.088999994952, 0.05423547514501129%, 768
