kList(2),            Time(us),                Time%,   Calls (Top 99, sorted by calls)
('aten::zero_', 'aten::fill_'), 36838.19799999999, 5.54285421506895%, 7
('aten::threshold_backward', 'aten::empty'), 3321.4799999999377, 0.49976601510928625%, 7
('aten::as_strided', 'aten::conj'), 22.642000000050757, 0.0034068253050236756%, 7
('aten::conj', 'aten::mm'), 44304.764000000054, 6.666310004768297%, 7
('aten::mm', 'aten::empty'), 44316.869000000064, 6.668131381869139%, 7
('aten::conv2d', 'aten::convolution'), 78481.378, 11.808689362376512%, 6
('aten::convolution', 'aten::_convolution'), 78406.464, 11.797417438036792%, 6
('aten::_convolution', 'aten::mkldnn_convolution'), 78308.81900000002, 11.782725297019732%, 6
('aten::mkldnn_convolution', 'aten::empty'), 39166.928000000014, 5.893246242829311%, 6
('aten::permute', 'aten::as_strided'), 74.93500000001222, 0.01127508410173211%, 6
('aten::reshape', 'aten::clone'), 34874.494000000006, 5.247385772406591%, 6
('aten::clone', 'aten::empty_like'), 17434.633000000045, 2.623299571065623%, 6
('aten::empty', 'aten::copy_'), 17302.196000000007, 2.6033724567241103%, 6
('aten::copy_', 'aten::_unsafe_view'), 17331.321999999986, 2.6077548961655825%, 6
('aten::_unsafe_view', 'aten::view'), 69.59699999996883, 0.010471902692036702%, 6
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input'), 143070.598, 21.527097149994567%, 6
('aten::mkldnn_convolution_backward_input', 'aten::empty'), 55420.293000000005, 8.338806492527304%, 6
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 32222.332000000024, 4.848328594833854%, 6
('aten::mkldnn_convolution_backward_weights', 'aten::empty'), 32229.65200000006, 4.849429997591245%, 6
('aten::as_strided_', 'aten::empty'), 23.285000000047148, 0.0035035742084382595%, 6
('aten::fill_', 'aten::zeros_like'), 29163.889999999985, 4.388140554929076%, 6
('aten::sum', 'aten::empty'), 570.4209999999584, 0.08582831451781697%, 5
('aten::as_strided', 'aten::addmm'), 17155.811999999998, 2.5813468090141245%, 4
('aten::addmm', 'aten::empty'), 17152.082, 2.580785575095402%, 4
('aten::empty', 'aten::expand'), 16.344999999999516, 0.0024593480969210095%, 4
('aten::expand', 'aten::as_strided'), 15.254000000000303, 0.002295190937316301%, 4
('aten::as_strided', 'aten::copy_'), 411.0650000000006, 0.06185083667548891%, 4
('aten::copy_', 'aten::relu'), 911.1070000000019, 0.13708958498265408%, 4
('aten::as_strided', 'aten::sum'), 225.92299999998068, 0.033993472015947025%, 4
('aten::empty', 'aten::fill_'), 25.37400000001071, 0.003817895295888766%, 4
('aten::fill_', 'aten::view'), 32.945999999996275, 0.004957215197378575%, 4
('aten::view', 'aten::conv2d'), 19802.868, 2.979635713024129%, 3
('aten::as_strided_', 'aten::relu'), 2738.0930000000117, 0.41198677324826954%, 3
('aten::empty', 'aten::conv2d'), 19489.013999999996, 2.932411715617517%, 3
('aten::as_strided_', 'aten::pixel_shuffle'), 14665.814999999999, 2.206689765068624%, 3
