kList(5),            Time(us),                Time%,   Calls (Top 127, sorted by calls)
-------------------------------------------------------------
('aten::view', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 79034.24100000001, 11.891875814925188%, 3
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::relu'), 42225.76000000001, 6.3534929640285345%, 3
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::relu', 'aten::threshold'), 25168.328, 3.78694888770178%, 3
('aten::empty', 'aten::as_strided_', 'aten::relu', 'aten::threshold', 'aten::empty'), 5470.957000000006, 0.8231867657563223%, 3
('aten::as_strided_', 'aten::relu', 'aten::threshold', 'aten::empty', 'aten::conv2d'), 24916.965999999997, 3.7491277401742003%, 3
('aten::relu', 'aten::threshold', 'aten::empty', 'aten::conv2d', 'aten::convolution'), 44363.856, 6.675201274131597%, 3
('aten::threshold', 'aten::empty', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 61069.113, 9.188755389244939%, 3
('aten::empty', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 77788.16800000002, 11.704385618462984%, 3
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::pixel_shuffle'), 53529.83200000002, 8.054358547427672%, 3
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::pixel_shuffle', 'aten::reshape'), 34136.36600000002, 5.1363234480208995%, 3
('aten::empty', 'aten::as_strided_', 'aten::pixel_shuffle', 'aten::reshape', 'aten::view'), 14762.41600000002, 2.2212248207743888%, 3
('aten::as_strided_', 'aten::pixel_shuffle', 'aten::reshape', 'aten::view', 'aten::permute'), 14777.562000000013, 2.2235037615070867%, 3
('aten::pixel_shuffle', 'aten::reshape', 'aten::view', 'aten::permute', 'aten::as_strided'), 14778.862000000001, 2.223699365821921%, 3
('aten::reshape', 'aten::view', 'aten::permute', 'aten::as_strided', 'aten::reshape'), 14667.742000000006, 2.206979710849155%, 3
('aten::view', 'aten::permute', 'aten::as_strided', 'aten::reshape', 'aten::clone'), 29115.728000000003, 4.380893866458971%, 3
('aten::permute', 'aten::as_strided', 'aten::reshape', 'aten::clone', 'aten::empty_like'), 29111.307999999997, 4.380228811788527%, 3
('aten::as_strided', 'aten::reshape', 'aten::clone', 'aten::empty_like', 'aten::empty'), 29096.321999999993, 4.3779739454330375%, 3
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 76.82700000007753, 0.011559763612257367%, 3
('aten::empty', 'aten::copy_', 'aten::_unsafe_view', 'aten::view', 'aten::conv2d'), 25075.565000000002, 3.7729913161193576%, 2
('aten::copy_', 'aten::_unsafe_view', 'aten::view', 'aten::conv2d', 'aten::convolution'), 41656.82000000001, 6.2678874879647655%, 2
('aten::_unsafe_view', 'aten::view', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 49794.06, 7.492256145547518%, 2
('aten::copy_', 'aten::relu', 'aten::threshold', 'aten::empty', 'aten::view'), 1080.1340000000037, 0.16252220846251242%, 1
('aten::relu', 'aten::threshold', 'aten::empty', 'aten::view', 'aten::conv2d'), 3932.505000000001, 0.5917038047037408%, 1
('aten::threshold', 'aten::empty', 'aten::view', 'aten::conv2d', 'aten::convolution'), 6742.0509999999995, 1.0144417434196928%, 1
('aten::empty', 'aten::view', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 9550.251, 1.4369771564373608%, 1
