kList(3),            Time(us),                Time%,   Calls (Top 116, sorted by calls)
-------------------------------------------------------------
('aten::empty_like', 'aten::empty_strided', 'aten::fill_'), 6.879000000000815, 0.001035047755198662%, 1
('aten::mse_loss_backward', 'aten::zeros_like', 'aten::empty_like'), 3691.6100000000006, 0.5554575728403083%, 1
('aten::zeros_like', 'aten::empty_like', 'aten::empty'), 1455.4870000000083, 0.2189996441445944%, 1
('aten::empty_like', 'aten::empty', 'aten::zero_'), 1443.771000000008, 0.21723679787334763%, 1
('aten::empty', 'aten::zero_', 'aten::fill_'), 2864.046000000002, 0.4309382734533156%, 1
('aten::zero_', 'aten::fill_', 'aten::mse_loss_backward'), 3637.1219999999885, 0.5472590436812341%, 1
('aten::neg', 'aten::empty', 'aten::neg'), 3420.26400000001, 0.5146295355991259%, 1
('aten::empty', 'aten::neg', 'aten::resize_'), 1709.892000000007, 0.25727865623374735%, 1
('aten::neg', 'aten::resize_', 'aten::mul'), 2286.683999999994, 0.3440655823591235%, 1
('aten::resize_', 'aten::mul', 'aten::to'), 596.2549999999901, 0.0897154236481894%, 1
('aten::mul', 'aten::to', 'aten::empty_strided'), 591.6699999999983, 0.08902554227624915%, 1
('aten::empty_strided', 'aten::copy_', 'aten::zeros'), 17.789999999979045, 0.0026767698161012246%, 1
('aten::copy_', 'aten::zeros', 'aten::empty'), 16.81199999997625, 0.0025296151854009683%, 1
('aten::empty', 'aten::zeros_like', 'aten::empty_like'), 25.520000000018626, 0.0038398631650946365%, 1
('aten::empty_strided', 'aten::zero_', 'aten::mul_'), 25.166000000026543, 0.0037865986055173593%, 1
('aten::zero_', 'aten::mul_', 'aten::to'), 33.99600000001374, 0.005115203297825812%, 1
Total time: 664607.0160000003us
