kList(4),            Time(us),                Time%,   Calls (Top 206, sorted by time)
-------------------------------------------------------------
('aten::sparse_dim', 'aten::select', 'aten::as_strided', 'aten::add_'), 80.00200000000041, 1.0244860122097788%, 9
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::bmm'), 79.45800000000008, 1.0175196814850163%, 2
('aten::empty', 'aten::empty', 'aten::cat', 'aten::_cat'), 73.92899999999986, 0.9467166620416516%, 1
('aten::_sparse_coo_tensor_with_dims_and_tensors', 'aten::empty', 'aten::empty', 'aten::resize_'), 72.8519999999994, 0.9329248638972252%, 3
('aten::threshold', 'aten::empty', 'aten::t', 'aten::transpose'), 70.73700000000065, 0.9058406920537413%, 3
('aten::add_', 'aten::add_', 'aten::add_', 'aten::add_'), 67.94300000000385, 0.8700614125593433%, 6
('aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_'), 67.64600000000024, 0.8662581033216994%, 5
('aten::mse_loss_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty'), 65.91800000000012, 0.8441297586665831%, 1
('aten::conj', 'aten::bmm', 'aten::empty', 'aten::resize_'), 64.66800000000012, 0.8281225649056494%, 2
('aten::as_strided', 'aten::conj', 'aten::bmm', 'aten::empty'), 63.94900000000007, 0.8189152270543596%, 2
('aten::empty', 'aten::zero_', 'aten::ones_like', 'aten::empty_like'), 62.57900000000154, 0.8013713426923952%, 3
('aten::index', 'aten::as_strided', 'aten::reshape', 'aten::view'), 59.919000000000096, 0.7673080343691098%, 1
('aten::_cumsum', 'aten::empty_like', 'aten::empty', 'aten::resize_'), 59.875, 0.7667445811487237%, 3
('aten::to', 'aten::index', 'aten::as_strided', 'aten::reshape'), 59.361000000000104, 0.7601624230742291%, 1
('aten::as_strided', 'aten::to', 'aten::to', 'aten::index'), 58.3599999999999, 0.7473438623104708%, 1
('aten::ones_like', 'aten::empty_like', 'aten::empty', 'aten::fill_'), 56.929000000001, 0.7290188268929679%, 3
('aten::copy_', 'aten::_coalesced_', 'aten::narrow', 'aten::slice'), 56.901999999998225, 0.7286730715076963%, 3
('aten::to', 'aten::to', 'aten::index', 'aten::as_strided'), 56.27500000000009, 0.7206438631172358%, 1
('aten::zero_', 'aten::ones_like', 'aten::empty_like', 'aten::empty'), 56.107000000001335, 0.7184924962757823%, 3
('aten::index_add_', 'aten::select', 'aten::as_strided', 'aten::sub_'), 54.125000000000455, 0.6931114898484345%, 3
('aten::add_', 'aten::_nnz', 'aten::sparse_dim', 'aten::select'), 53.50299999999879, 0.6851463102329727%, 6
('aten::as_strided', 'aten::sparse_dim', 'aten::select', 'aten::as_strided'), 53.091999999998734, 0.6798831449243768%, 9
('aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 52.957999999999856, 0.6781671737532192%, 1
('aten::_coalesced_', 'aten::narrow', 'aten::slice', 'aten::as_strided'), 52.51199999999881, 0.6724558070193046%, 3
('aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided'), 51.90499999999997, 0.6646827137290101%, 1
('aten::to', 'aten::_cumsum', 'aten::empty_like', 'aten::empty'), 51.86099999999897, 0.6641192605086124%, 3
