kList(5),            Time(us),                Time%,   Calls (Top 208, sorted by calls)
-------------------------------------------------------------
('aten::relu', 'aten::threshold', 'aten::empty', 'aten::zeros', 'aten::empty'), 25.937999999999874, 0.3321556734168768%, 1
('aten::threshold', 'aten::empty', 'aten::zeros', 'aten::empty', 'aten::zero_'), 17.381999999999834, 0.22258963356203737%, 1
('aten::empty', 'aten::broadcast_tensors', 'aten::mse_loss', 'aten::empty', 'aten::mean'), 163.05300000000034, 2.0880167714412208%, 1
('aten::broadcast_tensors', 'aten::mse_loss', 'aten::empty', 'aten::mean', 'aten::sum'), 182.05700000000024, 2.331377339627447%, 1
('aten::mse_loss', 'aten::empty', 'aten::mean', 'aten::sum', 'aten::empty'), 181.63500000000022, 2.3259733110137555%, 1
('aten::empty', 'aten::mean', 'aten::sum', 'aten::empty', 'aten::as_strided'), 90.74800000000005, 1.1620966555337688%, 1
('aten::mean', 'aten::sum', 'aten::empty', 'aten::as_strided', 'aten::fill_'), 91.82199999999989, 1.175850036413161%, 1
('aten::sum', 'aten::empty', 'aten::as_strided', 'aten::fill_', 'aten::div_'), 59.20499999999993, 0.7581647252928623%, 1
('aten::empty', 'aten::as_strided', 'aten::fill_', 'aten::div_', 'aten::to'), 52.4409999999998, 0.6715465984136963%, 1
('aten::as_strided', 'aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided'), 52.802999999999884, 0.6761822817268637%, 1
('aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 55.085999999999785, 0.7054178204118318%, 1
('aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::ones_like'), 61.69399999999996, 0.7900382495096339%, 1
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::ones_like', 'aten::empty_like'), 30.486000000000104, 0.3903962471966609%, 1
('aten::empty_strided', 'aten::copy_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided'), 18.49500000000012, 0.23684243888677636%, 1
('aten::copy_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided', 'aten::fill_'), 17.59199999999987, 0.2252788421138747%, 1
('aten::mse_loss_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 66.66600000000017, 0.8537084634131263%, 1
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::mse_loss_backward'), 39.46600000000035, 0.5053919271752116%, 1
('aten::new_zeros', 'aten::zeros', 'aten::empty', 'aten::zero_', 'aten::_index_put_impl_'), 71.06700000000046, 0.9100665912066255%, 1
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::_index_put_impl_', 'aten::as_strided'), 50.36700000000019, 0.6449874625255602%, 1
('aten::empty', 'aten::zero_', 'aten::_index_put_impl_', 'aten::as_strided', 'aten::reshape'), 45.541999999999916, 0.5831996946083525%, 1
('aten::zero_', 'aten::_index_put_impl_', 'aten::as_strided', 'aten::reshape', 'aten::view'), 45.6869999999999, 0.5850565290846207%, 1
('aten::_index_put_impl_', 'aten::as_strided', 'aten::reshape', 'aten::view', 'aten::reshape'), 46.597999999999956, 0.5967225718975898%, 1
('aten::slice_backward', 'aten::zeros', 'aten::empty', 'aten::zero_', 'aten::slice'), 53.909000000000106, 0.6903454467665407%, 1
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::slice', 'aten::as_strided'), 26.335000000000036, 0.3372395581553514%, 1
('aten::empty', 'aten::zero_', 'aten::slice', 'aten::as_strided', 'aten::copy_'), 18.786999999999807, 0.2405817193493265%, 1
('aten::conj', 'aten::bmm', 'aten::empty', 'aten::resize_', 'aten::transpose'), 26.560999999999694, 0.3401336587873238%, 1
('aten::bmm', 'aten::empty', 'aten::resize_', 'aten::transpose', 'aten::as_strided'), 26.24200000000019, 0.3360486229395399%, 1
