kList(2),            Time(us),                Time%,   Calls (Top 116, sorted by calls)
('aten::resize_', 'aten::resize_'), 186.39499999958207, 0.0001839231820782523%, 6
('aten::sum', 'aten::empty'), 2467.892999989912, 0.002435165823052156%, 6
('aten::empty', 'aten::fill_'), 194.79899998288602, 0.00019221573509264813%, 6
('aten::expand', 'aten::as_strided'), 43.9220000077039, 4.3339542394785464e-05%, 6
('aten::resize_as_', 'aten::resize_'), 43.73299998883158, 4.31530487394625e-05%, 6
('aten::resize_', 'aten::zero_'), 30056.494999986142, 0.02965791036524009%, 6
('aten::as_strided', 'aten::conj'), 16.818999995477498, 1.6595960184282134e-05%, 6
('aten::conj', 'aten::mm'), 11075.678999991156, 0.010928802410795442%, 6
('aten::mm', 'aten::empty'), 11120.525999997742, 0.010973054686596258%, 6
('aten::empty', 'aten::t'), 127.84099999722093, 0.00012614567729610473%, 6
('aten::threshold_', 'aten::max_pool2d'), 621428.9859999993, 0.6131881034418191%, 3
('aten::max_pool2d', 'aten::max_pool2d_with_indices'), 1187172.9820000024, 1.1714296656415557%, 3
('aten::max_pool2d_with_indices', 'aten::empty'), 593583.3340000021, 0.5857117176863287%, 3
('aten::resize_', 'aten::conv2d'), 55872.026000002894, 0.055131096923750206%, 3
('aten::threshold_', 'aten::adaptive_avg_pool2d'), 4869.246000007726, 0.004804674045147299%, 3
('aten::adaptive_avg_pool2d', 'aten::mean'), 5113.477000005543, 0.005045666253531928%, 3
('aten::mean', 'aten::sum'), 4907.975000008009, 0.00484288945285017%, 3
('aten::fill_', 'aten::div_'), 300.9359999913722, 0.00029694523308263735%, 3
('aten::div_', 'aten::to'), 196.51699999999255, 0.00019391095239975093%, 3
('aten::copy_', 'aten::flatten'), 67.6789999967441, 6.678149649563085e-05%, 3
('aten::flatten', 'aten::view'), 76.53300000168383, 7.551808199971105e-05%, 3
('aten::view', 'aten::t'), 63.257000003010035, 6.241813744630332e-05%, 3
('aten::as_strided', 'aten::addmm'), 7691.580999997444, 0.007589581548514326%, 3
('aten::addmm', 'aten::empty'), 7691.695999990217, 0.007589695023471325%, 3
('aten::empty', 'aten::expand'), 15.294000000692904, 1.509118349118023e-05%, 3
('aten::as_strided', 'aten::copy_'), 100.9950000019744, 9.96556869787166e-05%, 3
('aten::empty', 'aten::random_'), 44.846000000834465, 4.425128905632273e-05%, 3
('aten::random_', 'aten::log_softmax'), 335.3179999999702, 0.000330871287149592%, 3
('aten::log_softmax', 'aten::_log_softmax'), 576.156000001356, 0.0005685154907264923%, 3
('aten::_log_softmax', 'aten::empty'), 288.4509999966249, 0.00028462579893855604%, 3
('aten::empty', 'aten::nll_loss'), 87.7829999923706, 8.66188936989093e-05%, 3
('aten::nll_loss', 'aten::nll_loss_forward'), 141.91099999658763, 0.00014002909247210372%, 3
('aten::nll_loss_forward', 'aten::empty'), 67.35299999359995, 6.645981963768977e-05%, 3
('aten::resize_', 'aten::ones_like'), 37.39000000245869, 3.689416442701512e-05%, 3
('aten::ones_like', 'aten::empty_like'), 50.01500000432134, 4.9351742012710684e-05%, 3
('aten::empty_strided', 'aten::fill_'), 9.123000002466142, 9.002018243822199e-06%, 3
('aten::nll_loss_backward', 'aten::zeros_like'), 291.5069999974221, 0.00028764127276875007%, 3
('aten::zero_', 'aten::resize_as_'), 82.4250000026077, 8.13319471193624e-05%, 3
('aten::_log_softmax_backward_data', 'aten::empty'), 179.2489999961108, 0.00017687194647765902%, 3
('aten::as_strided', 'aten::sum'), 85.46499999240041, 8.433163311760152e-05%, 3
('aten::fill_', 'aten::view'), 24.928999995812774, 2.4598412002837544e-05%, 3
('aten::reshape', 'aten::view'), 65.27400001138449, 6.440838965152837e-05%, 3
('aten::as_strided', 'aten::to'), 6.485000001266599, 6.3990012393738964e-06%, 3
('aten::to', 'aten::div'), 15333.482000000775, 0.015130141912530218%, 3
('aten::max_pool2d_with_indices_backward', 'aten::zeros_like'), 365752.86800000817, 0.3609025528418644%, 3
('aten::fill_', 'aten::resize_as_'), 145443.86699999683, 0.14351510948504792%, 3
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights'), 665975.2240000069, 0.6571436056956076%, 3
('aten::addcdiv', 'aten::zeros'), 20.16899999976158, 1.9901535230562715e-05%, 2
('aten::zero_', 'aten::conv2d'), 317571.78299999423, 0.3133604059537763%, 2
('aten::add_', 'aten::zeros'), 86.03500000014901, 8.48940742518057e-05%, 2
('aten::empty', 'aten::mul_'), 88.2960000000894, 8.712509072042823e-05%, 2
('aten::empty', 'aten::conv2d'), 62272.655, 0.06144684602101381%, 1
('aten::copy_', 'aten::zeros'), 33.1169999986887, 3.2677829451744734e-05%, 1
('aten::empty', 'aten::zeros_like'), 19.16799999959767, 1.8913809673059078e-05%, 1
('aten::zero_', 'aten::mul_'), 31.42799999937415, 3.1011227587935116e-05%, 1
Total time: 101343940.38500166us
