kList(3),            Time(us),                Time%,   Calls (Top 300, sorted by calls)
-------------------------------------------------------------
('aten::as_strided', 'aten::cat', 'aten::_cat'), 3870.8370000006107, 0.036089958537884%, 28
('aten::cat', 'aten::_cat', 'aten::empty'), 3886.211000001669, 0.0362332988600416%, 28
('aten::_cat', 'aten::empty', 'aten::resize_'), 2068.38300000038, 0.019284680990304177%, 28
('aten::unbind', 'aten::select', 'aten::as_strided'), 657.1149999997579, 0.00612664731287036%, 28
('aten::empty_strided', 'aten::copy_', 'aten::empty'), 158.33100000629202, 0.0014762076588313816%, 28
('aten::div', 'aten::to', 'aten::empty_strided'), 2435.1280000060797, 0.022704047872500428%, 27
('aten::norm', 'aten::empty', 'aten::as_strided'), 3833.4110000049695, 0.03574101519873504%, 27
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 1228.6730000050738, 0.011455599299788047%, 27
('aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 1287.4950000019744, 0.012004029404440664%, 27
('aten::slice', 'aten::as_strided', 'aten::transpose'), 322.2279999989132, 0.003004310220167945%, 26
('aten::as_strided', 'aten::transpose', 'aten::as_strided'), 242.67099999928905, 0.0022625562193189248%, 26
('aten::transpose', 'aten::as_strided', 'aten::unsqueeze'), 441.16299999963303, 0.00411320713799955%, 26
('aten::log', 'aten::add_', 'aten::view'), 4787.145000001834, 0.04463320583245371%, 26
('aten::add_', 'aten::view', 'aten::unsqueeze'), 2532.333000000748, 0.023610343957683567%, 26
('aten::log', 'aten::add_', 'aten::slice'), 885.9890000002051, 0.008260566455013132%, 26
('aten::log', 'aten::add_', 'aten::select'), 1080.1169999996782, 0.010070529383191772%, 26
('aten::add_', 'aten::select', 'aten::as_strided'), 772.4359999989247, 0.007201848905837615%, 26
('aten::log', 'aten::add_', 'aten::stack'), 3368.455000000744, 0.03140597273580255%, 26
('aten::add_', 'aten::stack', 'aten::unsqueeze'), 3137.7140000000945, 0.029254646517981434%, 26
('aten::empty', 'aten::resize_', 'aten::logsumexp'), 14564.605000000214, 0.13579388400249942%, 26
('aten::resize_', 'aten::logsumexp', 'aten::empty'), 14546.89400000003, 0.13562875453420326%, 26
('aten::transpose', 'aten::as_strided', 'aten::conj'), 126.67500000074506, 0.0011810612272778792%, 26
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_'), 3004.807000000961, 0.02801548090099407%, 26
('aten::empty', 'aten::as_strided', 'aten::to'), 79.93600000720471, 0.0007452876279584643%, 26
('aten::empty_strided', 'aten::copy_', 'aten::add_'), 1434.9310000007972, 0.013378656940280623%, 26
('aten::copy_', 'aten::add_', 'aten::mul_'), 2619.716999998316, 0.02442507341717416%, 26
('aten::add_', 'aten::mul_', 'aten::to'), 2706.510999995284, 0.025234301979685878%, 26
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 1489.6180000007153, 0.013888534148377474%, 26
('aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 2789.802000003867, 0.026010870131971335%, 26
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 4754.022000002675, 0.04432438174696011%, 26
('aten::addcmul', 'aten::sqrt', 'aten::empty'), 3396.925999998115, 0.031671423647178315%, 26
('aten::sqrt', 'aten::empty', 'aten::div'), 4281.049999998882, 0.03991460167362862%, 26
('aten::empty', 'aten::div', 'aten::to'), 2447.102000001818, 0.02281568811035564%, 26
('aten::copy_', 'aten::empty', 'aten::add_'), 871.1870000045747, 0.008122559205903965%, 26
('aten::empty', 'aten::add_', 'aten::to'), 964.9390000002459, 0.008996661058471495%, 26
('aten::add_', 'aten::to', 'aten::empty_strided'), 926.1239999961108, 0.008634767302470666%, 26
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 2182.1269999993965, 0.02034517933830926%, 26
('aten::empty', 'aten::t', 'aten::transpose'), 261.89500000238377, 0.002441792225134685%, 25
('aten::exp', 'aten::empty_strided', 'aten::sum'), 344636.5690000006, 3.2132377276146364%, 25
('aten::empty_strided', 'aten::sum', 'aten::resize_'), 22078.61000000112, 0.20585111681892723%, 25
('aten::exp', 'aten::empty_strided', 'aten::mul'), 326236.13099999866, 3.0416802467651793%, 25
('aten::empty_strided', 'aten::mul', 'aten::empty_strided'), 53715.56200000085, 0.5008199532604608%, 25
('aten::transpose', 'aten::as_strided', 'aten::add'), 3234.450000002049, 0.030156569856316456%, 25
('aten::slice', 'aten::as_strided', 'aten::add'), 1038.0950000011362, 0.009678734988949363%, 25
('aten::as_strided', 'aten::to', 'aten::detach'), 88.8219999987632, 0.0008281367304298246%, 25
('aten::to', 'aten::mul_', 'aten::detach'), 836.9050000011921, 0.007802929121062465%, 25
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 4126.484000001103, 0.03847349719640946%, 25
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 4918.783999999054, 0.04586054918270779%, 25
('aten::addcdiv', 'aten::mul_', 'aten::to'), 2970.587999996729, 0.027696438200058744%, 25
('aten::empty_strided', 'aten::zero_', 'aten::fill_'), 6007.0799999972805, 0.056007335915622354%, 24
('aten::zero_', 'aten::fill_', 'aten::zeros_like'), 7587.443999999203, 0.07074194531271782%, 24
('aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 4770.456000004895, 0.044477605036572054%, 24
('aten::select', 'aten::as_strided', 'aten::sub'), 186.51100000133738, 0.0017389454159155984%, 20
('aten::sub', 'aten::empty', 'aten::slice'), 203.3530000015162, 0.0018959727156188408%, 20
('aten::empty', 'aten::slice', 'aten::as_strided'), 130.40599999995902, 0.001215847407960883%, 20
('aten::select', 'aten::as_strided', 'aten::item'), 154.68500000052154, 0.0014422139801935675%, 20
('aten::as_strided', 'aten::item', 'aten::_local_scalar_dense'), 78.88799999980256, 0.0007355165430962394%, 20
('aten::item', 'aten::_local_scalar_dense', 'aten::select'), 163.02799999900162, 0.0015200003928032084%, 20
('aten::_local_scalar_dense', 'aten::select', 'aten::as_strided'), 127.59999999916181, 0.0011896855148907128%, 20
('aten::as_strided', 'aten::conj', 'aten::mm'), 1404.2520000012591, 0.013092619621228723%, 20
('aten::conj', 'aten::mm', 'aten::empty'), 1425.9960000049323, 0.013295350983613704%, 20
('aten::mm', 'aten::empty', 'aten::t'), 1502.7730000028387, 0.014011185503792965%, 20
('aten::transpose', 'aten::as_strided', 'aten::addmm'), 958.0129999999988, 0.008932086122135436%, 10
('aten::as_strided', 'aten::addmm', 'aten::empty'), 925.4239999999979, 0.00862824081457251%, 10
('aten::addmm', 'aten::empty', 'aten::expand'), 957.2019999999973, 0.008924524719685715%, 10
('aten::empty', 'aten::expand', 'aten::as_strided'), 65.33599999999919, 0.0006091637366881601%, 10
('aten::expand', 'aten::as_strided', 'aten::copy_'), 140.51599999999974, 0.0013101085408423292%, 10
('aten::transpose', 'aten::as_strided', 'aten::sum'), 164.52299999818206, 0.0015339391063125994%, 10
('aten::as_strided', 'aten::sum', 'aten::empty'), 153.67099999729544, 0.001432759896212806%, 10
('aten::empty', 'aten::fill_', 'aten::view'), 59.604000001214445, 0.0005557211240709769%, 10
('aten::as_strided', 'aten::permute', 'aten::as_strided'), 77.9770000000002, 0.000727022785229175%, 9
('aten::bmm', 'aten::empty', 'aten::resize_'), 5497.642000000194, 0.0512575631151881%, 9
('aten::as_strided', 'aten::copy_', 'aten::relu'), 218.22200000000117, 0.002034604642885485%, 8
('aten::copy_', 'aten::relu', 'aten::threshold'), 295.70199999999994, 0.0027569936216812253%, 8
('aten::relu', 'aten::threshold', 'aten::empty'), 249.5079999999997, 0.0023263013593362186%, 8
('aten::empty_strided', 'aten::exp', 'aten::empty'), 4725.73399999924, 0.044060637045944935%, 8
('aten::zero_', 'aten::fill_', 'aten::slice'), 11207.690999998711, 0.1044955144056196%, 8
('aten::fill_', 'aten::slice', 'aten::as_strided'), 5627.844000001438, 0.0524715085181058%, 8
('aten::unsqueeze', 'aten::as_strided', 'aten::permute'), 94.29800000000125, 0.0008791925131967308%, 6
('aten::permute', 'aten::as_strided', 'aten::reshape'), 94.12100000000078, 0.0008775422441047433%, 6
('aten::as_strided', 'aten::reshape', 'aten::view'), 88.43499999999995, 0.0008245285149690534%, 6
('aten::view', 'aten::permute', 'aten::as_strided'), 99.89699999999993, 0.0009313950931176969%, 6
('aten::as_strided', 'aten::conj', 'aten::bmm'), 3670.364000000991, 0.034220837658355784%, 6
('aten::conj', 'aten::bmm', 'aten::empty'), 3671.0420000022277, 0.03422715902810949%, 6
('aten::contiguous', 'aten::empty_like', 'aten::empty'), 4065.4239999999986, 0.03790420097743597%, 5
('aten::empty_like', 'aten::empty', 'aten::copy_'), 3973.470000000001, 0.03704686287526531%, 5
('aten::threshold', 'aten::empty', 'aten::t'), 94.79699999999877, 0.0008838449667385131%, 4
('aten::threshold', 'aten::empty', 'aten::add'), 98.78699999999935, 0.0009210459479645775%, 4
('aten::as_strided', 'aten::squeeze', 'aten::as_strided'), 39.96199999984674, 0.0003725878726190645%, 4
