kList(4),            Time(us),                Time%,   Calls (Top 359, sorted by calls)
-------------------------------------------------------------
('aten::sub', 'aten::empty_strided', 'aten::exp', 'aten::empty_strided'), 747709.1919999964, 6.971307171464559%, 50
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::select'), 1328.7549999994226, 0.012388719250378575%, 46
('aten::empty', 'aten::zero_', 'aten::select', 'aten::as_strided'), 710.0719999973662, 0.006620394772193526%, 46
('aten::zero_', 'aten::select', 'aten::as_strided', 'aten::copy_'), 788.2399999969639, 0.007349198356269619%, 46
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::select'), 5263.490999999456, 0.049074443577571465%, 44
('aten::zero_', 'aten::fill_', 'aten::select', 'aten::as_strided'), 5110.543999996968, 0.047648433934545244%, 44
('aten::fill_', 'aten::select', 'aten::as_strided', 'aten::copy_'), 3070.0439999983646, 0.028623721605793025%, 44
('aten::resize_', 'aten::masked_fill_', 'aten::sub', 'aten::empty_strided'), 103036.53299999729, 0.960666699180728%, 29
('aten::masked_fill_', 'aten::sub', 'aten::empty_strided', 'aten::exp'), 428597.32699999696, 3.9960504048285577%, 29
('aten::unsqueeze', 'aten::as_strided', 'aten::sub', 'aten::empty_strided'), 56147.53599999845, 0.5234945946429606%, 29
('aten::as_strided', 'aten::sub', 'aten::empty_strided', 'aten::exp'), 330481.6989999963, 3.081264030088956%, 29
('aten::stack', 'aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze'), 3257.348000001977, 0.03037006060020409%, 28
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::cat'), 2085.7620000015886, 0.019446715038618126%, 28
('aten::unsqueeze', 'aten::as_strided', 'aten::cat', 'aten::_cat'), 3930.334000000672, 0.03664468204164568%, 28
('aten::as_strided', 'aten::cat', 'aten::_cat', 'aten::empty'), 3902.7210000008636, 0.03638723073974392%, 28
('aten::cat', 'aten::_cat', 'aten::empty', 'aten::resize_'), 4061.4300000012736, 0.037866962702005035%, 28
('aten::unbind', 'aten::select', 'aten::as_strided', 'aten::select'), 720.5179999987595, 0.006717788619296093%, 28
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 345.522000009194, 0.0032214930916121243%, 28
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 2492.822000008542, 0.02324196100807633%, 27
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 1329.9620000077412, 0.012399972780365871%, 27
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 1337.3200000049546, 0.012468575492084586%, 27
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 1346.7010000040755, 0.012556039753951493%, 27
('aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::transpose'), 336.67899999902147, 0.0031390449017974706%, 26
('aten::slice', 'aten::as_strided', 'aten::transpose', 'aten::as_strided'), 343.4219999985107, 0.0032019136277093288%, 26
('aten::as_strided', 'aten::transpose', 'aten::as_strided', 'aten::unsqueeze'), 455.35299999901326, 0.004245508371978177%, 26
('aten::transpose', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided'), 478.3719999998175, 0.004460127265931201%, 26
('aten::log_', 'aten::log', 'aten::add_', 'aten::view'), 7325.732000001033, 0.06830185929803957%, 26
('aten::log', 'aten::add_', 'aten::view', 'aten::unsqueeze'), 4992.259000002363, 0.04654559732699545%, 26
('aten::add_', 'aten::view', 'aten::unsqueeze', 'aten::as_strided'), 2559.2600000009515, 0.023861399301413306%, 26
('aten::log_', 'aten::log', 'aten::add_', 'aten::slice'), 1314.0420000010708, 0.012251541797567123%, 26
('aten::log', 'aten::add_', 'aten::slice', 'aten::as_strided'), 933.4360000006709, 0.008702941130765049%, 26
('aten::log_', 'aten::log', 'aten::add_', 'aten::select'), 1504.3740000008984, 0.014026112514036257%, 26
('aten::log', 'aten::add_', 'aten::select', 'aten::as_strided'), 1123.7769999994925, 0.01047759575921253%, 26
('aten::add_', 'aten::select', 'aten::as_strided', 'aten::slice'), 974.5479999994132, 0.009086251090694608%, 26
('aten::log_', 'aten::log', 'aten::add_', 'aten::stack'), 3789.794000000111, 0.03533434973549751%, 26
('aten::log', 'aten::add_', 'aten::stack', 'aten::unsqueeze'), 3485.8160000003118, 0.03250019437932521%, 26
('aten::add_', 'aten::stack', 'aten::unsqueeze', 'aten::as_strided'), 3173.2310000018624, 0.029585791192234992%, 26
('aten::_cat', 'aten::empty', 'aten::resize_', 'aten::logsumexp'), 16400.297000000748, 0.15290905784431558%, 26
('aten::empty', 'aten::resize_', 'aten::logsumexp', 'aten::empty'), 14577.218000000226, 0.13591148199152314%, 26
('aten::resize_', 'aten::logsumexp', 'aten::empty', 'aten::amax'), 17040.10599999962, 0.15887435172833103%, 26
('aten::norm', 'aten::empty', 'aten::as_strided', 'aten::to'), 3836.5580000057817, 0.03577035642378482%, 26
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 1593.8140000011772, 0.014860011200970864%, 26
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 2646.2620000010356, 0.024672567163226015%, 26
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 2759.5199999948964, 0.025728534263845717%, 26
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 2726.288999993354, 0.025418703234477157%, 26
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 1629.4209999972954, 0.01519199499504903%, 26
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 2809.580000001937, 0.026195271386762618%, 26
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 4798.037000003271, 0.044734757984726314%, 26
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 4822.751000000164, 0.04496518030299831%, 26
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 5601.012000000104, 0.052221338912013755%, 26
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 4455.337000001222, 0.041539575963110614%, 26
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 2474.521000003442, 0.023071330642761085%, 26
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 898.6060000061989, 0.008378201738309414%, 26
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 1019.7160000028089, 0.009507377386470287%, 26
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 994.203999998048, 0.00926951487187973%, 26
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 970.8929999954998, 0.009052173500086382%, 26
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 2330.6559999976307, 0.02172999751887558%, 26
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided'), 280.35000000117736, 0.0026138584177367%, 25
('aten::empty_strided', 'aten::exp', 'aten::empty_strided', 'aten::sum'), 344873.04299999925, 3.2154425057686216%, 25
('aten::exp', 'aten::empty_strided', 'aten::sum', 'aten::resize_'), 344762.48400000157, 3.214411702940731%, 25
('aten::empty_strided', 'aten::sum', 'aten::resize_', 'aten::as_strided'), 22114.505000000645, 0.20618578579664443%, 25
('aten::empty_strided', 'aten::exp', 'aten::empty_strided', 'aten::mul'), 326718.8789999974, 3.0461811739042446%, 25
('aten::exp', 'aten::empty_strided', 'aten::mul', 'aten::empty_strided'), 326603.0859999992, 3.0451015715937078%, 25
('aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::add'), 1051.0429999968037, 0.009799456368586916%, 25
('aten::empty', 'aten::as_strided', 'aten::to', 'aten::detach'), 121.03600000403821, 0.0011284857052199248%, 25
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 4155.192999999039, 0.038741167113688205%, 25
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 4962.135999999009, 0.04626474390403872%, 25
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 5068.635999999009, 0.047257702425486166%, 25
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 2995.8709999993443, 0.027932165620719332%, 25
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 6188.829999998212, 0.05770189189002608%, 24
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 7717.382999997586, 0.07195343862085636%, 24
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 7725.227000002749, 0.07202657257998651%, 24
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 4856.705000004731, 0.045281752262075876%, 24
('aten::select', 'aten::as_strided', 'aten::sub', 'aten::empty'), 198.3460000017658, 0.0018492896797818502%, 20
