kList(5),            Time(us),                Time%,   Calls (Top 407, sorted by time)
-------------------------------------------------------------
('aten::as_strided', 'aten::contiguous', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 7279.493000000002, 0.06787074747574631%, 4
('aten::empty', 'aten::eq', 'aten::item', 'aten::_local_scalar_dense', 'aten::to'), 7220.159000002612, 0.06731754371134283%, 132
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 7026.837000002153, 0.06551509556783375%, 26
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::resize_', 'aten::masked_fill_'), 6739.69299999292, 0.06283789292284153%, 132
('aten::empty', 'aten::zero_', 'aten::slice', 'aten::as_strided', 'aten::copy_'), 6586.2940000039525, 0.06140766903344659%, 174
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 6352.2990000071, 0.059226003970320136%, 24
('aten::sub', 'aten::empty_strided', 'aten::exp', 'aten::empty', 'aten::sum'), 6291.936999998521, 0.058663215592102955%, 4
('aten::masked_fill_', 'aten::sub', 'aten::empty_strided', 'aten::exp', 'aten::empty'), 5954.188999998849, 0.055514203810868176%, 4
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 5775.299000002444, 0.05384631320149576%, 26
('aten::zero_', 'aten::fill_', 'aten::select', 'aten::as_strided', 'aten::copy_'), 5545.377999996301, 0.051702632298060866%, 44
('aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::slice', 'aten::as_strided'), 5314.433000000661, 0.0495494040752313%, 562
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::select', 'aten::as_strided'), 5304.18200000003, 0.04945382832120327%, 44
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 5111.987999998964, 0.0476618971468171%, 25
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 5093.919000001624, 0.04749342984614675%, 25
('aten::add_', 'aten::slice', 'aten::as_strided', 'aten::slice', 'aten::as_strided'), 5072.5210000096995, 0.04729392443362174%, 77
('aten::sub', 'aten::empty_strided', 'aten::exp', 'aten::empty', 'aten::mul'), 5042.274000000674, 0.04701191488989233%, 4
('aten::log', 'aten::add_', 'aten::view', 'aten::unsqueeze', 'aten::as_strided'), 5019.186000002566, 0.04679665267072519%, 26
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 4990.844999996945, 0.04653241382131746%, 25
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 4866.76600000076, 0.04537555654076451%, 26
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 4817.815000001341, 0.0449191592395176%, 26
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 4482.756000002846, 0.04179521849551607%, 26
('aten::slice', 'aten::as_strided', 'aten::add_', 'aten::slice', 'aten::as_strided'), 4318.174000003841, 0.04026072929949846%, 51
('aten::as_strided', 'aten::add_', 'aten::slice', 'aten::as_strided', 'aten::slice'), 4309.719000004698, 0.040181898648813136%, 51
('aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::add_', 'aten::slice'), 4304.119000006001, 0.04012968674535012%, 51
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 4299.601999997161, 0.04008757225098246%, 25
('aten::slice', 'aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::add_'), 4192.579999997746, 0.03908974683425225%, 50
('aten::empty_strided', 'aten::exp', 'aten::empty', 'aten::mul', 'aten::empty'), 4142.253000000026, 0.03862052032245299%, 4
('aten::as_strided', 'aten::cat', 'aten::_cat', 'aten::empty', 'aten::resize_'), 4077.940000000468, 0.038020894581707355%, 28
('aten::unsqueeze', 'aten::as_strided', 'aten::cat', 'aten::_cat', 'aten::empty'), 3962.218000000925, 0.0369419542435056%, 28
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::cat', 'aten::_cat'), 3947.0420000021113, 0.03680045998509895%, 28
('aten::fill_', 'aten::log_', 'aten::log', 'aten::add_', 'aten::stack'), 3946.8250000005355, 0.0367984367738246%, 26
('aten::log_', 'aten::log', 'aten::add_', 'aten::stack', 'aten::unsqueeze'), 3907.1549999996787, 0.036428571379020176%, 26
('aten::norm', 'aten::empty', 'aten::as_strided', 'aten::to', 'aten::detach'), 3870.6370000028983, 0.03608809382706693%, 25
('aten::slice', 'aten::as_strided', 'aten::contiguous', 'aten::empty_like', 'aten::empty'), 3753.6900000000023, 0.03499773213494872%, 4
('aten::as_strided', 'aten::conj', 'aten::bmm', 'aten::empty', 'aten::resize_'), 3733.6020000008866, 0.03481044057834817%, 6
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::view', 'aten::transpose'), 3720.1899999999996, 0.03468539306951687%, 4
('aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::contiguous', 'aten::empty_like'), 3719.3390000000036, 0.03467745872489952%, 4
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::bmm', 'aten::empty'), 3712.563000000082, 0.0346142823216953%, 6
('aten::slice', 'aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::contiguous'), 3701.2900000000027, 0.0345091778952882%, 4
('aten::empty', 'aten::copy_', 'aten::view', 'aten::transpose', 'aten::as_strided'), 3672.923999999999, 0.03424470595707804%, 4
('aten::log', 'aten::add_', 'aten::stack', 'aten::unsqueeze', 'aten::as_strided'), 3521.3330000020796, 0.03283133905357877%, 26
('aten::empty_strided', 'aten::exp', 'aten::empty', 'aten::sum', 'aten::resize_'), 3446.4659999990836, 0.03213331252185876%, 4
('aten::stack', 'aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided'), 3272.728000003175, 0.030513456863688133%, 28
('aten::add_', 'aten::stack', 'aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze'), 3229.121000001789, 0.030106884636024896%, 26
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 3078.985999997705, 0.02870709282737169%, 26
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 3044.947999998927, 0.02838973768979597%, 25
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 2949.3829999985173, 0.02749873223343417%, 26
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 2851.9929999988526, 0.02659071129067893%, 26
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 2840.751999997534, 0.02648590521799442%, 26
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 2805.1450000014156, 0.026153921423916256%, 26
('aten::add_', 'aten::view', 'aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze'), 2793.708999999857, 0.026047297258162076%, 26
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 2786.064999997616, 0.02597602800989757%, 26
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 2779.2979999929667, 0.025912935518636993%, 26
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 2770.30399999395, 0.025829079472243364%, 26
('aten::copy_', 'aten::view', 'aten::transpose', 'aten::as_strided', 'aten::slice'), 2754.827000000001, 0.02568477882407028%, 3
('aten::as_strided', 'aten::sub', 'aten::empty_strided', 'aten::exp', 'aten::empty'), 2571.5270000002347, 0.02397577134067982%, 4
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 2561.7670000107028, 0.02388477345186355%, 27
('aten::zero_', 'aten::slice', 'aten::as_strided', 'aten::copy_', 'aten::add'), 2561.0110000008717, 0.023877724844802745%, 70
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 2529.298000006005, 0.023582046970759878%, 26
('aten::select_backward', 'aten::zeros', 'aten::empty', 'aten::zero_', 'aten::select'), 2498.121999998577, 0.023291375845200992%, 46
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 2311.297000002116, 0.021549502833314575%, 27
('aten::_local_scalar_dense', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::resize_'), 2294.334999998482, 0.02139135670707608%, 132
('aten::item', 'aten::_local_scalar_dense', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 2285.159000000047, 0.021305803773824922%, 132
('aten::conj', 'aten::bmm', 'aten::empty', 'aten::resize_', 'aten::transpose'), 2264.686999999918, 0.021114931972405205%, 3
('aten::bmm', 'aten::empty', 'aten::resize_', 'aten::transpose', 'aten::as_strided'), 2262.8479999992996, 0.021097785956240362%, 3
('aten::view', 'aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided'), 2169.7989999988386, 0.020230238562225146%, 79
('aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::cat'), 2148.0000000006694, 0.020026994404410924%, 28
('aten::slice', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::slice'), 2040.6920000002356, 0.019026502451172305%, 132
('aten::slice', 'aten::as_strided', 'aten::copy_', 'aten::view_as', 'aten::view'), 1959.2649999996065, 0.01826731340397489%, 52
('aten::bmm', 'aten::empty', 'aten::resize_', 'aten::view', 'aten::permute'), 1832.541, 0.017085795322552215%, 3
('aten::permute', 'aten::as_strided', 'aten::reshape', 'aten::view', 'aten::bmm'), 1817.7739999999992, 0.016948114397799023%, 3
