kList(4),            Time(us),                Time%,   Calls (Top 145, sorted by time)
-------------------------------------------------------------
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 3166740.1580000008, 29.61678105072636%, 15
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_'), 695088.9879999998, 6.500785457992399%, 12
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 584290.7319999991, 5.464550236588312%, 18
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 584152.8859999997, 5.463261038675944%, 18
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 583843.2070000013, 5.460364781110956%, 18
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 583797.3639999989, 5.459936036715761%, 18
('aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution'), 578828.7040000005, 5.413466889266545%, 6
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 516620.3559999985, 4.831666384545928%, 14
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 516587.3329999994, 4.831357538568104%, 14
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 488726.9880000041, 4.570795036849085%, 45
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 488166.3969999992, 4.565552137186411%, 45
('aten::relu_', 'aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices'), 479800.43699999945, 4.4873099091421595%, 9
('aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty'), 466946.34699999937, 4.36709266675977%, 9
('aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty'), 454273.43799999997, 4.248569910738699%, 9
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 409575.03300000075, 3.8305302838190878%, 32
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 408606.1719999991, 3.8214690591293556%, 14
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::conv2d'), 389394.03399999917, 3.6417884865933066%, 6
