kList(5),            Time(us),                Time%,   Calls (Top 149, sorted by calls)
-------------------------------------------------------------
('aten::zero_', 'aten::fill_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 54712.26200000162, 0.5116937303335336%, 9
('aten::fill_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 48532.59700000251, 0.4538987183842739%, 9
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_', 'aten::conv2d'), 389409.6849999989, 3.6419348617984357%, 6
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::conv2d', 'aten::convolution'), 778687.0089999991, 7.28263182387633%, 6
('aten::resize_', 'aten::resize_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 1167933.7209999987, 10.923042488734906%, 6
('aten::resize_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 1557040.7849999988, 14.562147102565037%, 6
('aten::empty', 'aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::conv2d'), 293545.98699999833, 2.7453743570767313%, 6
('aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution'), 578842.4420000006, 5.4135953732335835%, 6
('aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 864134.7910000012, 8.08177798822805%, 6
('aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 1145271.344000002, 10.711093726218872%, 6
('aten::dropout', 'aten::empty_like', 'aten::empty', 'aten::bernoulli_', 'aten::empty'), 7284.452000000048, 0.06812747784610851%, 6
('aten::empty_like', 'aten::empty', 'aten::bernoulli_', 'aten::empty', 'aten::div_'), 3365.1659999994445, 0.031472548945814756%, 6
('aten::empty', 'aten::bernoulli_', 'aten::empty', 'aten::div_', 'aten::to'), 3413.2820000005304, 0.031922551461325506%, 6
('aten::bernoulli_', 'aten::empty', 'aten::div_', 'aten::to', 'aten::empty_strided'), 3402.689999999944, 0.03182349030402967%, 6
('aten::empty', 'aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 769.6869999988703, 0.007198459683839004%, 6
('aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::mul'), 1826.3859999983688, 0.017081184933791967%, 6
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::mul', 'aten::empty'), 1251.1909999991185, 0.011701702081871048%, 6
('aten::empty_strided', 'aten::copy_', 'aten::mul', 'aten::empty', 'aten::t'), 1251.3960000002407, 0.011703619334264902%, 6
('aten::copy_', 'aten::mul', 'aten::empty', 'aten::t', 'aten::transpose'), 1283.1080000011134, 0.012000204249302468%, 6
('aten::mul', 'aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided'), 1257.5000000024447, 0.01176070669305631%, 6
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm'), 195635.41100000235, 1.829670526872427%, 6
('aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::relu_'), 1086.628000001947, 0.010162634745495383%, 6
('aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::relu_', 'aten::threshold_'), 1263.5220000011032, 0.011817027150861217%, 6
