kList(3),            Time(us),                Time%,   Calls (Top 133, sorted by time)
-------------------------------------------------------------
('aten::as_strided_', 'aten::empty', 'aten::as_strided_'), 1270.7269999831915, 0.0006548766242632745%, 39
('aten::mul', 'aten::empty', 'aten::t'), 1257.0859999842942, 0.0006478466547804734%, 6
('aten::empty', 'aten::t', 'aten::transpose'), 1231.639999980107, 0.0006347329091970665%, 24
('aten::copy_', 'aten::relu_', 'aten::threshold_'), 1217.8159999903291, 0.000627608629593941%, 6
('aten::conj', 'aten::mul', 'aten::empty'), 1200.2940000072122, 0.0006185785639705329%, 6
('aten::empty_strided', 'aten::copy_', 'aten::mul'), 1186.1609999965876, 0.0006112950393914588%, 6
('aten::empty', 'aten::resize_', 'aten::zero_'), 1184.5689999964088, 0.0006104745928392426%, 3
('aten::copy_', 'aten::mul', 'aten::empty'), 1164.4229999948293, 0.0006000922333917635%, 6
('aten::as_strided', 'aten::copy_', 'aten::relu_'), 1043.8080000020564, 0.0005379325845987286%, 6
('aten::expand', 'aten::as_strided', 'aten::copy_'), 956.9069999754429, 0.0004931476437394534%, 9
('aten::empty', 'aten::resize_', 'aten::resize_'), 882.35400002799, 0.0004547263172586799%, 18
('aten::empty', 'aten::empty', 'aten::resize_'), 833.1540000194218, 0.0004293708082313354%, 18
('aten::sum', 'aten::empty', 'aten::fill_'), 803.0550000052899, 0.00041385911175898876%, 9
('aten::transpose', 'aten::as_strided', 'aten::sum'), 781.6610000040382, 0.0004028335881803652%, 9
('aten::div_', 'aten::to', 'aten::empty_strided'), 777.3690000008792, 0.0004006216807655988%, 6
('aten::empty', 'aten::div_', 'aten::to'), 775.5570000037551, 0.00039968785592257795%, 6
('aten::as_strided', 'aten::sum', 'aten::empty'), 754.7860000226647, 0.0003889833990641269%, 9
('aten::random_', 'aten::log_softmax', 'aten::_log_softmax'), 718.9759999960661, 0.00037052850518637273%, 3
('aten::log_softmax', 'aten::_log_softmax', 'aten::empty'), 710.7489999998361, 0.0003662886724092174%, 3
('aten::nll_loss_backward', 'aten::zeros_like', 'aten::empty_like'), 463.15300000086427, 0.00023868861931948117%, 3
('aten::_log_softmax', 'aten::empty', 'aten::nll_loss'), 447.41000000201166, 0.00023057537178860975%, 3
('aten::empty', 'aten::random_', 'aten::log_softmax'), 395.6429999861866, 0.00020389694422781281%, 3
('aten::transpose', 'aten::as_strided', 'aten::conj'), 264.86999999918044, 0.00013650231046508904%, 18
('aten::empty', 'aten::fill_', 'aten::view'), 219.74699999019504, 0.00011324790733766126%, 9
('aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward'), 184.13499999791384, 9.489505394073387e-05%, 3
('aten::flatten', 'aten::view', 'aten::t'), 176.20400000549853, 9.080776650438153e-05%, 3
('aten::empty', 'aten::zero_', 'aten::resize_as_'), 168.5419999975711, 8.685910979026193e-05%, 3
('aten::resize_', 'aten::flatten', 'aten::view'), 165.9190000090748, 8.550733133750867e-05%, 3
('aten::copy_', 'aten::empty', 'aten::random_'), 162.3969999793917, 8.36922479323992e-05%, 3
('aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty'), 159.7569999974221, 8.233170843314388e-05%, 3
('aten::zero_', 'aten::resize_as_', 'aten::resize_'), 145.00500000454485, 7.472917857693157e-05%, 3
