kList(4),            Time(us),                Time%,   Calls (Top 142, sorted by calls)
-------------------------------------------------------------
('aten::as_strided', 'aten::copy_', 'aten::relu_', 'aten::threshold_'), 1224.6959999967366, 0.0006311542780134576%, 6
('aten::copy_', 'aten::relu_', 'aten::threshold_', 'aten::dropout'), 5116.148000001907, 0.002636636926355441%, 6
('aten::relu_', 'aten::threshold_', 'aten::dropout', 'aten::empty_like'), 4457.406999999657, 0.0022971508822633635%, 6
('aten::threshold_', 'aten::dropout', 'aten::empty_like', 'aten::empty'), 4219.814999995753, 0.002174706449339081%, 6
('aten::dropout', 'aten::empty_like', 'aten::empty', 'aten::bernoulli_'), 6021.073999999091, 0.003102995856396325%, 6
('aten::empty_like', 'aten::empty', 'aten::bernoulli_', 'aten::empty'), 2171.238999987021, 0.0011189607734777623%, 6
('aten::empty', 'aten::bernoulli_', 'aten::empty', 'aten::div_'), 2665.9490000009537, 0.0013739124781339898%, 6
('aten::bernoulli_', 'aten::empty', 'aten::div_', 'aten::to'), 2757.7040000017732, 0.001421198956394551%, 6
('aten::empty', 'aten::div_', 'aten::to', 'aten::empty_strided'), 825.8660000003874, 0.00042561489460853606%, 6
('aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 816.0300000105053, 0.0004205458542326624%, 6
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::mul'), 1323.5299999918789, 0.000682088960506323%, 6
('aten::empty_strided', 'aten::copy_', 'aten::mul', 'aten::empty'), 1214.7319999914616, 0.0006260192720777216%, 6
('aten::copy_', 'aten::mul', 'aten::empty', 'aten::t'), 1295.7469999939203, 0.000667770828247537%, 6
('aten::mul', 'aten::empty', 'aten::t', 'aten::transpose'), 1312.3949999753386, 0.0006763504728358007%, 6
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::adaptive_avg_pool2d'), 16509.240000009537, 0.008508133816706087%, 3
('aten::resize_', 'aten::resize_', 'aten::adaptive_avg_pool2d', 'aten::_adaptive_avg_pool2d'), 32903.24200000428, 0.016956879053144705%, 3
('aten::resize_', 'aten::adaptive_avg_pool2d', 'aten::_adaptive_avg_pool2d', 'aten::empty'), 32842.90600000881, 0.016925784541106242%, 3
