kList(2),            Time(us),                Time%,   Calls (Top 109, sorted by time)
('aten::log_softmax', 'aten::_log_softmax'), 684.25700000301, 0.00035263586458492965%, 3
('aten::as_strided', 'aten::sum'), 670.1380000151694, 0.0003453595549998397%, 9
('aten::empty', 'aten::div_'), 638.1880000084639, 0.00032889393480771374%, 6
('aten::transpose', 'aten::as_strided'), 521.9360000025481, 0.00026898278368813%, 45
('aten::nll_loss_backward', 'aten::zeros_like'), 430.0910000037402, 0.0002216499233999049%, 3
('aten::random_', 'aten::log_softmax'), 385.2299999911338, 0.00019853054350971687%, 3
('aten::_log_softmax', 'aten::empty'), 360.23800000175834, 0.00018565076950094356%, 3
('aten::_log_softmax_backward_data', 'aten::empty'), 268.6779999937862, 0.00013846478563221386%, 3
('aten::resize_as_', 'aten::resize_'), 200.29299997910857, 0.0001032221741504019%, 18
('aten::empty', 'aten::fill_'), 159.48799999803305, 8.219307770323174e-05%, 9
('aten::nll_loss', 'aten::nll_loss_forward'), 157.64300000108778, 8.12422461164462e-05%, 3
('aten::zero_', 'aten::resize_as_'), 143.3289999999106, 7.386544212896546e-05%, 3
('aten::fill_', 'aten::view'), 135.09899998269975, 6.962406327337413e-05%, 9
('aten::reshape', 'aten::view'), 125.81599999964237, 6.484001469958836e-05%, 3
('aten::resize_', 'aten::flatten'), 119.81100000627339, 6.17453026769348e-05%, 3
('aten::flatten', 'aten::view'), 118.51799999922514, 6.107894752763888e-05%, 3
('aten::empty', 'aten::nll_loss'), 113.66399999707937, 5.857741011195385e-05%, 3
('aten::view', 'aten::t'), 103.79400000907481, 5.3490847637316515e-05%, 3
('aten::zeros', 'aten::empty'), 93.71299997627733, 4.8295545050085975e-05%, 6
('aten::as_strided', 'aten::conj'), 86.54499999433756, 4.4601474151337444e-05%, 18
('aten::expand', 'aten::as_strided'), 85.91999998688698, 4.427937672596664e-05%, 9
('aten::empty', 'aten::expand'), 80.12099998444319, 4.129082800877298e-05%, 9
('aten::empty', 'aten::mul_'), 73.85599999129772, 3.806212345887768e-05%, 2
('aten::empty', 'aten::empty'), 72.75200000335462, 3.7493170579698724e-05%, 18
('aten::nll_loss_forward', 'aten::empty'), 72.58499999716878, 3.7407106145477705e-05%, 3
('aten::add_', 'aten::zeros'), 53.59399998188019, 2.7619982725922995e-05%, 2
('aten::ones_like', 'aten::empty_like'), 51.110999988391995, 2.63403540930201e-05%, 3
('aten::empty', 'aten::random_'), 45.13199998810887, 2.3259041319539e-05%, 3
('aten::resize_', 'aten::ones_like'), 39.818999998271465, 2.052095556382471e-05%, 3
('aten::zero_', 'aten::mul_'), 38.45399999991059, 1.98174947960455e-05%, 1
('aten::addcdiv', 'aten::zeros'), 28.02299999818206, 1.4441817668769106e-05%, 2
('aten::copy_', 'aten::zeros'), 13.360999997705221, 6.885669837340792e-06%, 1
('aten::empty', 'aten::zeros_like'), 11.031999997794628, 5.685406005793346e-06%, 1
('aten::empty_strided', 'aten::fill_'), 10.676999991759658, 5.502454667253519e-06%, 3
Total time: 194040671.6169994us
