kList(5),            Time(us),                Time%,   Calls (Top 170, sorted by time)
-------------------------------------------------------------
('aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 30369.701999994926, 0.11836012605474217%, 34
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 21011.85799999349, 0.08188971236938668%, 38
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_'), 20356.65399999125, 0.07933617964022623%, 36
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 14822.65000000177, 0.05776845365377067%, 85
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 11571.9700000179, 0.045099547829084465%, 186
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 11334.726000010502, 0.04417493455014575%, 186
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 11210.240999996196, 0.043689777985434636%, 186
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 11153.460999999195, 0.04346848875589151%, 186
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 8447.834000003524, 0.032923823129055424%, 85
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 8270.560000003781, 0.032232931496789775%, 85
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 8163.388000001665, 0.031815249050324165%, 85
('aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided', 'aten::select'), 4191.60699999542, 0.016335989496751743%, 120
('aten::add_', 'aten::relu_', 'aten::threshold_', 'aten::adaptive_avg_pool2d', 'aten::mean'), 3970.3030000003055, 0.015473499330208626%, 3
('aten::relu_', 'aten::threshold_', 'aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum'), 3507.7680000003893, 0.013670857312031123%, 3
('aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select'), 3273.90399999739, 0.012759416938990062%, 60
('aten::empty', 'aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 3255.351000000017, 0.012687110157106489%, 180
('aten::expand', 'aten::as_strided', 'aten::to', 'aten::div', 'aten::to'), 3222.5249999992084, 0.012559177077685122%, 3
('aten::to', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 3213.174000001047, 0.01252273333719269%, 3
('aten::as_strided', 'aten::to', 'aten::div', 'aten::to', 'aten::empty_strided'), 3203.3410000004806, 0.012484411093544612%, 3
('aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided'), 3151.411999994365, 0.012282027712021094%, 60
('aten::as_strided', 'aten::add_', 'aten::relu_', 'aten::threshold_', 'aten::adaptive_avg_pool2d'), 3131.9260000002105, 0.012206084740449914%, 3
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty'), 3124.1719999976776, 0.012175865003103515%, 60
('aten::threshold_', 'aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum', 'aten::empty'), 2943.9840000001714, 0.011473616611161431%, 3
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 2637.4500000015832, 0.010278958761706626%, 6
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided'), 2635.6260000020266, 0.010271850069304197%, 6
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 2622.3160000022035, 0.010219976880763594%, 6
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 2596.8110000004526, 0.010120576003690979%, 6
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 2595.1110000011977, 0.01011395057765931%, 6
('aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum', 'aten::empty', 'aten::fill_'), 2450.1099999987055, 0.009548836812685205%, 3
('aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty', 'aten::empty_like'), 2128.5429999926127, 0.008295590710508347%, 60
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::empty_like'), 1984.3640000001033, 0.0077336805339263395%, 60
('aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_'), 1860.0669999972451, 0.007249256663433075%, 3
('aten::view', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm'), 1803.9089999995194, 0.0070303915603538904%, 3
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty'), 1779.2529999995604, 0.006934299498996115%, 3
('aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand'), 1756.180999999866, 0.006844380775779821%, 3
('aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided'), 1747.68999999878, 0.006811288721387602%, 3
('aten::mean', 'aten::sum', 'aten::empty', 'aten::fill_', 'aten::div_'), 1696.7169999997132, 0.006612631167708644%, 3
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty'), 1216.1099999975413, 0.00473955697346538%, 60
('aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty', 'aten::select'), 916.8260000043083, 0.0035731546174141947%, 60
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::div_', 'aten::to'), 906.2219999991357, 0.0035318275481760137%, 3
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided'), 846.331999998074, 0.0032984176862832183%, 60
('aten::empty', 'aten::empty', 'aten::select', 'aten::as_strided', 'aten::select'), 828.9469999946232, 0.003230662961792656%, 60
('aten::log_softmax', 'aten::_log_softmax', 'aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward'), 735.4329999976326, 0.00286620996757069%, 3
('aten::copy_', 'aten::empty', 'aten::random_', 'aten::log_softmax', 'aten::_log_softmax'), 730.5759999954607, 0.002847280735650501%, 3
('aten::random_', 'aten::log_softmax', 'aten::_log_softmax', 'aten::empty', 'aten::nll_loss'), 708.5149999959394, 0.0027613021922707386%, 3
('aten::empty', 'aten::random_', 'aten::log_softmax', 'aten::_log_softmax', 'aten::empty'), 635.7819999950007, 0.0024778391853419214%, 3
('aten::nll_loss_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 467.93099999893457, 0.0018236718998693071%, 3
('aten::as_strided', 'aten::copy_', 'aten::empty', 'aten::random_', 'aten::log_softmax'), 457.86999999475665, 0.0017844610696566348%, 3
('aten::_log_softmax', 'aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty'), 443.1719999983907, 0.0017271784156377456%, 3
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 442.5109999999404, 0.001724602294109165%, 4
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::resize_as_'), 282.0139999981038, 0.0010990958221777482%, 3
('aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 235.66200000047684, 0.0009184477353901511%, 3
('aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::flatten'), 231.34800000302494, 0.0009016347425099889%, 3
('aten::empty', 'aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided'), 228.75199999799952, 0.0008915173272046635%, 3
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 215.9769999985583, 0.0008417291992117234%, 4
('aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::empty', 'aten::random_'), 175.99099999619648, 0.0006858913842504421%, 3
