kList(4),            Time(us),                Time%,   Calls (Top 161, sorted by time)
-------------------------------------------------------------
('aten::add_', 'aten::relu_', 'aten::threshold_', 'aten::adaptive_avg_pool2d'), 3130.5139999999665, 0.012200581739530833%, 3
('aten::empty', 'aten::select', 'aten::as_strided', 'aten::select'), 3127.7549999991825, 0.012189829062804605%, 180
('aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select'), 3105.4059999957535, 0.012102728094293169%, 60
('aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty'), 3092.8659999951924, 0.012053855834012408%, 60
('aten::threshold_', 'aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum'), 2931.4610000015236, 0.011424810605148474%, 3
('aten::relu_', 'aten::threshold_', 'aten::adaptive_avg_pool2d', 'aten::mean'), 2822.8449999995064, 0.011001500443863296%, 3
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 2629.9580000031274, 0.010249760119447327%, 6
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 2615.068000001833, 0.010191729181998267%, 6
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 2569.054000001168, 0.01001239838578688%, 6
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 2538.8180000009015, 0.009894559337796772%, 6
('aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty'), 2479.666999992449, 0.009664029587545496%, 120
('aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum', 'aten::empty'), 2398.235999999568, 0.009346667783207648%, 3
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 2323.4550000126474, 0.009055223086616517%, 189
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::empty_like'), 1831.6629999975848, 0.0071385574863249415%, 60
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm'), 1775.5529999991413, 0.006919879454095699%, 3
('aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand'), 1743.5979999999981, 0.006795340931196182%, 3
('aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty'), 1743.3159999991767, 0.006794241889933128%, 3
('aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided'), 1743.2459999979474, 0.0067939690782680895%, 3
('aten::mean', 'aten::sum', 'aten::empty', 'aten::fill_'), 1589.1089999990072, 0.006193249494336138%, 3
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::empty_like'), 1151.7299999981187, 0.00448864819222883%, 60
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::div_'), 856.9279999993742, 0.00333971357703085%, 3
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::select'), 712.2170000015758, 0.0027757300318103514%, 60
('aten::log_softmax', 'aten::_log_softmax', 'aten::empty', 'aten::nll_loss'), 672.9179999975022, 0.0026225696684222537%, 3
('aten::empty', 'aten::empty', 'aten::select', 'aten::as_strided'), 657.8049999991417, 0.0025636696309812683%, 60
('aten::random_', 'aten::log_softmax', 'aten::_log_softmax', 'aten::empty'), 629.1659999960102, 0.0024520545861430616%, 3
