kList(5),            Time(us),                Time%,   Calls (Top 482, sorted by time)
-------------------------------------------------------------
('aten::empty', 'aten::slow_conv_transpose2d_backward', 'aten::empty', 'aten::empty', 'aten::empty'), 101957.50799999957, 2.30515111126143%, 6
('aten::slice', 'aten::as_strided', 'aten::add', 'aten::conv1d', 'aten::convolution'), 98513.76199999993, 2.2272916669250566%, 5
('aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::_convolution_nogroup'), 92815.03800000009, 2.09844956182602%, 12
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 88351.06900000433, 1.9975239575931583%, 66
('aten::linear', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::matmul'), 88098.57200000019, 1.9918152682423973%, 4
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 87753.45500000007, 1.9840125389322079%, 81
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 80838.72500000522, 1.8276778279704513%, 65
('aten::threshold', 'aten::empty', 'aten::conv1d', 'aten::convolution', 'aten::_convolution'), 77676.63500000001, 1.7561863270461577%, 6
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 77652.33200000832, 1.7556368619941298%, 66
('aten::empty', 'aten::conv1d', 'aten::convolution', 'aten::_convolution', 'aten::unsqueeze'), 74468.94499999998, 1.6836638584891361%, 6
('aten::_convolution_nogroup', 'aten::_nnpack_available', 'aten::thnn_conv2d', 'aten::thnn_conv2d_forward', 'aten::empty'), 73330.668, 1.6579286228704577%, 6
('aten::as_strided', 'aten::_convolution_nogroup', 'aten::_nnpack_available', 'aten::thnn_conv2d', 'aten::thnn_conv2d_forward'), 73327.79499999997, 1.6578636673878%, 6
('aten::thnn_conv2d_backward', 'aten::empty', 'aten::empty', 'aten::empty', 'aten::view'), 71884.10099999956, 1.6252232773498008%, 6
('aten::as_strided', 'aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::conv_transpose1d'), 68465.54500000004, 1.5479333521948202%, 6
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 68182.51800000528, 1.54153441192693%, 66
