kList(4),            Time(us),                Time%,   Calls (Top 434, sorted by time)
-------------------------------------------------------------
('aten::conv1d', 'aten::convolution', 'aten::_convolution', 'aten::contiguous'), 54445.80099999998, 1.2309618108621205%, 1
('aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::conv1d'), 53621.17999999997, 1.2123180047137834%, 5
('aten::threshold', 'aten::empty', 'aten::conv1d', 'aten::convolution'), 52921.29600000001, 1.1964943698290036%, 6
('aten::slice', 'aten::as_strided', 'aten::add', 'aten::conv1d'), 51749.98899999994, 1.1700123609446902%, 5
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 49421.98800000269, 1.1173787276063645%, 20
('aten::as_strided', 'aten::_convolution_nogroup', 'aten::_nnpack_available', 'aten::thnn_conv2d'), 48934.49399999998, 1.106357005343012%, 6
('aten::_nnpack_available', 'aten::thnn_conv2d', 'aten::thnn_conv2d_forward', 'aten::empty'), 48836.293000000005, 1.104136784893166%, 6
('aten::thnn_conv2d', 'aten::thnn_conv2d_forward', 'aten::empty', 'aten::empty'), 48834.72600000002, 1.104101356685257%, 6
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 48481.28000000911, 1.0961103175197062%, 132
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::matmul'), 47511.17000000019, 1.0741771593989096%, 5
('aten::view', 'aten::mm', 'aten::empty', 'aten::_unsafe_view'), 47033.291000000056, 1.0633728220871461%, 5
('aten::mm', 'aten::empty', 'aten::_unsafe_view', 'aten::view'), 47012.97299999997, 1.0629134536581062%, 5
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 45467.65800000029, 1.0279755205978136%, 66
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 45399.31999999704, 1.0264304709027106%, 67
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_'), 44878.07200000342, 1.0146456065018652%, 20
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 44623.99900000403, 1.0089012854628483%, 66
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 44447.39699999988, 1.0049085015615338%, 81
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 44397.43700000062, 1.0037789589532844%, 81
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 44373.79300000123, 1.0032443931920925%, 81
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 42285.86000000499, 0.9560384426976889%, 66
('aten::_cat', 'aten::empty', 'aten::resize_', 'aten::linear'), 37055.598000000056, 0.8377877665287513%, 3
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::fill_'), 36698.390000000596, 0.8297116725332976%, 4
('aten::resize_', 'aten::linear', 'aten::t', 'aten::transpose'), 36462.27200000017, 0.82437329499969%, 3
('aten::empty', 'aten::resize_', 'aten::linear', 'aten::t'), 36452.78900000005, 0.8241588944281463%, 3
('aten::convolution', 'aten::_convolution', 'aten::contiguous', 'aten::empty_like'), 36337.47800000006, 0.8215518350265901%, 1
('aten::transpose', 'aten::as_strided', 'aten::matmul', 'aten::view'), 32081.507000000158, 0.7253288449536449%, 3
('aten::relu', 'aten::threshold', 'aten::empty', 'aten::conv1d'), 31495.981, 0.7120907231512483%, 6
('aten::glu_backward', 'aten::resize_as_', 'aten::resize_', 'aten::narrow'), 31360.19299999962, 0.7090207004992937%, 12
('aten::empty', 'aten::glu_backward', 'aten::resize_as_', 'aten::resize_'), 31273.365999999456, 0.7070576341252325%, 12
('aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 29914.42200000491, 0.6763333516944625%, 15
('aten::reshape', 'aten::view', 'aten::addmm_', 'aten::zero_'), 29485.50599999982, 0.6666360158783542%, 24
('aten::glu', 'aten::empty', 'aten::glu', 'aten::resize_'), 27873.102, 0.6301812716882355%, 12
('aten::as_strided', 'aten::glu', 'aten::empty', 'aten::glu'), 27832.447999999902, 0.6292621278692493%, 12
('aten::as_strided', 'aten::reshape', 'aten::view', 'aten::addmm_'), 25755.355000001146, 0.5823012582769825%, 24
('aten::view', 'aten::addmm_', 'aten::zero_', 'aten::fill_'), 25753.002999999793, 0.5822480820516789%, 20
('aten::fill_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 25752.442000001203, 0.582235398436754%, 4
('aten::unsqueeze', 'aten::as_strided', 'aten::_convolution_nogroup', 'aten::_nnpack_available'), 24539.670999999973, 0.5548159324925837%, 6
('aten::thnn_conv2d_forward', 'aten::empty', 'aten::empty', 'aten::empty'), 24406.30300000002, 0.5518006234737853%, 6
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 23870.96499999985, 0.5396971991178185%, 6
('aten::unsqueeze', 'aten::as_strided', 'aten::copy_', 'aten::addmm_'), 23207.700000000055, 0.5247014809818835%, 24
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 20958.94300000416, 0.4738594704308069%, 66
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 20842.945000005886, 0.47123687868797887%, 66
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 20776.190000006463, 0.46972761894390064%, 66
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 20643.522000000812, 0.46672813618249526%, 66
('aten::resize_', 'aten::zero_', 'aten::fill_', 'aten::resize_'), 19319.399000000267, 0.43679111962753897%, 20
('aten::as_strided', 'aten::linear', 'aten::t', 'aten::transpose'), 19152.387000000075, 0.43301515545436164%, 5
('aten::select', 'aten::as_strided', 'aten::linear', 'aten::t'), 19148.270000000048, 0.4329220744511938%, 5
('aten::addmm_', 'aten::zero_', 'aten::fill_', 'aten::select'), 19113.06000000029, 0.43212601369785575%, 15
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::linear'), 19105.838000000047, 0.4319627319381045%, 5
('aten::view', 'aten::transpose', 'aten::as_strided', 'aten::addmm_'), 18603.088999999454, 0.42059611030552263%, 24
('aten::cat', 'aten::_cat', 'aten::empty', 'aten::resize_'), 18554.344999998983, 0.41949406016745516%, 97
('aten::permute', 'aten::as_strided', 'aten::add', 'aten::conv1d'), 18248.30799999996, 0.41257488820578986%, 1
('aten::_convolution', 'aten::contiguous', 'aten::empty_like', 'aten::empty'), 18230.801000000094, 0.4121790735051741%, 1
('aten::copy_', 'aten::addmm_', 'aten::select', 'aten::as_strided'), 17738.22600000006, 0.40104247522121367%, 18
('aten::as_strided', 'aten::copy_', 'aten::addmm_', 'aten::select'), 17732.05100000003, 0.4009028650209319%, 18
