kList(3),            Time(us),                Time%,   Calls (Top 367, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided', 'aten::view'), 2768.1330000008456, 0.06258455101777705%, 24
('aten::as_strided', 'aten::view', 'aten::transpose'), 88.17600000044331, 0.001993565833205835%, 24
('aten::view', 'aten::transpose', 'aten::as_strided'), 92.43399999989197, 0.002089834696804191%, 24
('aten::transpose', 'aten::as_strided', 'aten::addmm_'), 18582.554999999702, 0.42013185834559763%, 24
('aten::zero_', 'aten::fill_', 'aten::zero_'), 64169.1500000041, 1.4507964183590232%, 24
('aten::convolution', 'aten::_convolution', 'aten::unsqueeze'), 395258.3559999999, 8.936372185251619%, 23
('aten::_convolution', 'aten::unsqueeze', 'aten::as_strided'), 197724.30500000008, 4.470336813196199%, 23
('aten::fill_', 'aten::select', 'aten::as_strided'), 2622.9370000011404, 0.05930182346474548%, 21
('aten::zero_', 'aten::zero_', 'aten::fill_'), 43813.764000002295, 0.9905827315154834%, 21
('aten::addmm_', 'aten::zero_', 'aten::fill_'), 25733.344999999506, 0.5818036355225833%, 20
('aten::fill_', 'aten::zero_', 'aten::zero_'), 27443.550000002608, 0.6204695565868958%, 20
('aten::zero_', 'aten::zero_', 'aten::zero_'), 12155.383000001777, 0.2748203166191793%, 19
('aten::conv1d', 'aten::convolution', 'aten::_convolution'), 441883.754, 9.99052297925403%, 18
('aten::empty', 'aten::empty', 'aten::empty'), 36.26699999957782, 0.0008199584021918762%, 18
('aten::resize_', 'aten::select', 'aten::as_strided'), 116.70800000008603, 0.0026386440897839362%, 18
('aten::copy_', 'aten::addmm_', 'aten::select'), 17722.11600000004, 0.40067824520881995%, 18
('aten::empty_like', 'aten::empty', 'aten::empty_like'), 214.28199999965727, 0.004844688734669091%, 18
('aten::empty', 'aten::empty_like', 'aten::empty'), 136.47999999998137, 0.003085668037952814%, 18
('aten::as_strided', 'aten::addmm_', 'aten::select'), 14079.258999999613, 0.31831711235612714%, 18
('aten::zero_', 'aten::fill_', 'aten::select'), 4987.300999999978, 0.11275758566348285%, 15
('aten::fill_', 'aten::resize_', 'aten::zero_'), 7799.94199999969, 0.17634841535234522%, 13
('aten::unsqueeze', 'aten::as_strided', 'aten::mkldnn_convolution'), 121812.45800000006, 2.754050470949011%, 12
('aten::as_strided', 'aten::mkldnn_convolution', 'aten::empty'), 121852.71000000017, 2.754960525974392%, 12
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 121872.66400000012, 2.7554116647495177%, 12
('aten::empty', 'aten::as_strided_', 'aten::squeeze'), 322.8829999999871, 0.007300042153417456%, 12
('aten::as_strided_', 'aten::squeeze', 'aten::as_strided'), 220.1379999998826, 0.00497708668331321%, 12
('aten::unsqueeze', 'aten::as_strided', 'aten::_convolution_nogroup'), 92656.63500000013, 2.094868238011426%, 12
('aten::empty', 'aten::empty', 'aten::view'), 38.3440000003975, 0.0008669171691713467%, 12
('aten::squeeze', 'aten::as_strided', 'aten::glu'), 14174.49799999989, 0.3204703651277236%, 12
('aten::as_strided', 'aten::glu', 'aten::empty'), 14037.136999999922, 0.317364778614233%, 12
('aten::glu', 'aten::empty', 'aten::glu'), 27817.598999999907, 0.6289264077293346%, 12
('aten::empty', 'aten::glu', 'aten::resize_'), 13868.135000000017, 0.3135438226518218%, 12
('aten::glu', 'aten::resize_', 'aten::narrow'), 13930.544000000133, 0.31495482394564495%, 12
('aten::fill_', 'aten::resize_', 'aten::select'), 2294.235999999917, 0.051870242502355085%, 12
('aten::glu_backward', 'aten::empty', 'aten::glu_backward'), 62407.30099999986, 1.4109628812326094%, 12
('aten::empty', 'aten::glu_backward', 'aten::resize_as_'), 31227.062999999616, 0.7060107724080515%, 12
('aten::glu_backward', 'aten::resize_as_', 'aten::resize_'), 31262.864999999525, 0.7068202176534686%, 12
('aten::resize_as_', 'aten::resize_', 'aten::narrow'), 234.30899999977555, 0.005297477962368786%, 12
('aten::slice', 'aten::as_strided', 'aten::sigmoid'), 12296.515000000247, 0.2780111614427995%, 12
('aten::as_strided', 'aten::sigmoid', 'aten::mul_'), 17435.5830000001, 0.3942000379995684%, 12
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_'), 153115.49300000025, 3.461778889694849%, 12
('aten::empty', 'aten::as_strided_', 'aten::empty'), 143.53799999970943, 0.0032452419316444524%, 12
('aten::as_strided_', 'aten::empty', 'aten::as_strided_'), 73.10800000024028, 0.001652894335576103%, 12
('aten::squeeze', 'aten::as_strided', 'aten::relu'), 6550.860999999932, 0.14810801882161603%, 11
('aten::as_strided', 'aten::relu', 'aten::threshold'), 12655.361999999928, 0.28612431148979856%, 11
