kList(5),            Time(us),                Time%,   Calls (124, sorted by time)
-------------------------------------------------------------
('aten::ones_like', 'aten::nll_loss_backward', 'aten::_log_softmax_backward_data', 'aten::t', 'aten::conj'), 1736.7240000003949, 0.004547140545349239%, 3
('aten::empty', 'aten::random_', 'aten::log_softmax', 'aten::nll_loss', 'aten::ones_like'), 1424.797999996692, 0.0037304469534111284%, 3
('aten::zeros', 'aten::empty', 'aten::mul_', 'aten::add_', 'aten::mul_'), 710.4059999994934, 0.0018600053469960296%, 2
('aten::empty', 'aten::mul_', 'aten::add_', 'aten::mul_', 'aten::addcmul_'), 706.0139999985695, 0.0018485060867339672%, 2
('aten::sqrt', 'aten::div', 'aten::add_', 'aten::addcdiv_', 'aten::zeros'), 699.394000004977, 0.001831173413044268%, 2
('aten::conj', 'aten::mul', 'aten::reshape', 'aten::expand', 'aten::to'), 674.5339999999851, 0.0017660842486289347%, 3
('aten::add_', 'aten::zeros', 'aten::empty', 'aten::mul_', 'aten::add_'), 671.410000000149, 0.0017579049023062478%, 2
('aten::div', 'aten::add_', 'aten::addcdiv_', 'aten::zeros', 'aten::empty'), 618.5810000002384, 0.0016195865006086872%, 2
('aten::t', 'aten::sum', 'aten::view', 'aten::add_', 'aten::t'), 550.8039999939501, 0.0014421308169360605%, 2
('aten::add_', 'aten::addcdiv_', 'aten::zeros', 'aten::empty', 'aten::zero_'), 465.8270000014454, 0.0012196416004065646%, 2
('aten::zeros_like', 'aten::mul_', 'aten::add_', 'aten::mul_', 'aten::addcmul_'), 399.71499999798834, 0.0010465452674545352%, 1
('aten::zeros_like', 'aten::zeros_like', 'aten::mul_', 'aten::add_', 'aten::mul_'), 391.8459999989718, 0.001025942426158582%, 1
('aten::addcdiv_', 'aten::zeros', 'aten::empty', 'aten::zero_', 'aten::zero_'), 347.16799999959767, 0.0009089652062421064%, 2
('aten::zeros', 'aten::empty', 'aten::zeros_like', 'aten::zeros_like', 'aten::zeros_like'), 331.285000000149, 0.0008673798804912914%, 1
('aten::empty', 'aten::zeros_like', 'aten::zeros_like', 'aten::zeros_like', 'aten::zeros_like'), 329.52600000053644, 0.0008627744162854038%, 1
('aten::detach', 'aten::zeros', 'aten::empty', 'aten::zeros_like', 'aten::zeros_like'), 326.84999999962747, 0.0008557680363980497%, 1
('aten::t', 'aten::sum', 'aten::view', 'aten::detach', 'aten::t'), 302.0729999989271, 0.0007908961849724479%, 1
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 284.49000000208616, 0.000744859870512296%, 2
('aten::t', 'aten::detach', 'aten::conj', 'aten::mul', 'aten::reshape'), 283.1030000001192, 0.0007412283873604871%, 1
('aten::detach', 'aten::conj', 'aten::mul', 'aten::reshape', 'aten::expand'), 271.73000000044703, 0.0007114512728502055%, 1
('aten::detach', 'aten::t', 'aten::detach', 'aten::conj', 'aten::mul'), 267.63399999961257, 0.000700727008270721%, 1
('aten::empty', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 238.3190000038594, 0.0006239736352145695%, 2
('aten::sum', 'aten::view', 'aten::detach', 'aten::t', 'aten::detach'), 237.15099999681115, 0.000620915544125245%, 1
('aten::view', 'aten::detach', 'aten::t', 'aten::detach', 'aten::conj'), 153.75999999791384, 0.0004025788382283275%, 1
Aten total time : 33398275.722999793us
Model total time: 38193761.171us
Aten calls: 633056 , Top layer Aten calls: 6044

debug info:
last top layer aten op: {'name': 'aten::addcdiv_', 'ph': 'X', 'ts': 38193704.157, 'dur': 57.94099999964237, 'tid': 1, 'pid': 'CPU functions', 'args': {}}
