kList(4),            Time(us),                Time%,   Calls (109, sorted by calls)
-------------------------------------------------------------
('aten::conj', 'aten::mm', 'aten::t', 'aten::sum'), 8407.448999997228, 0.022012623900420913%, 3
('aten::mm', 'aten::t', 'aten::sum', 'aten::view'), 8443.702999997884, 0.022107545162137823%, 3
('aten::conj', 'aten::mul', 'aten::reshape', 'aten::expand'), 634.3340000007302, 0.0016608314566368798%, 3
('aten::mul', 'aten::reshape', 'aten::expand', 'aten::to'), 607.1420000027865, 0.0015896365830128853%, 3
('aten::reshape', 'aten::expand', 'aten::to', 'aten::div'), 15388.275000000373, 0.04029002258013929%, 3
('aten::expand', 'aten::to', 'aten::div', 'aten::hardtanh_backward'), 26294.9739999976, 0.06884625445048606%, 3
('aten::to', 'aten::div', 'aten::hardtanh_backward', 'aten::native_batch_norm_backward'), 409218.0700000003, 1.071426477659168%, 3
('aten::div', 'aten::add_', 'aten::addcdiv_', 'aten::zeros'), 592.0610000025481, 0.0015501510766425695%, 2
('aten::add_', 'aten::addcdiv_', 'aten::zeros', 'aten::empty'), 407.6529999990016, 0.0010673287665330196%, 2
('aten::addcdiv_', 'aten::zeros', 'aten::empty', 'aten::zero_'), 296.66599999926984, 0.0007767394226272857%, 2
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::zero_'), 231.56000000052154, 0.0006062770277160918%, 2
('aten::empty', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 188.12600000202656, 0.0004925568842506878%, 2
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::conv2d'), 128608.93599999323, 0.3367276017258134%, 2
('aten::zero_', 'aten::zero_', 'aten::conv2d', 'aten::add'), 128749.85999999568, 0.3370965729810179%, 2
('aten::zero_', 'aten::conv2d', 'aten::add', 'aten::batch_norm'), 278496.6439999994, 0.7291678940786227%, 2
('aten::t', 'aten::sum', 'aten::view', 'aten::add_'), 435.44999999552965, 0.0011401076684905305%, 2
('aten::sum', 'aten::view', 'aten::add_', 'aten::t'), 414.38199999555945, 0.0010849468271540486%, 2
('aten::view', 'aten::add_', 'aten::t', 'aten::add_'), 4204.774999994785, 0.011009062399404156%, 2
('aten::add_', 'aten::t', 'aten::add_', 'aten::conj'), 4198.852999992669, 0.010993557249294423%, 2
('aten::t', 'aten::add_', 'aten::conj', 'aten::mul'), 4262.504999998957, 0.01116021273975871%, 2
('aten::add_', 'aten::conj', 'aten::mul', 'aten::reshape'), 4245.003000002354, 0.011114388501820364%, 2
('aten::div', 'aten::hardtanh_backward', 'aten::native_batch_norm_backward', 'aten::add_'), 274299.9919999987, 0.7181800995505804%, 2
('aten::add_', 'aten::mkldnn_convolution_backward', 'aten::add_', 'aten::zeros'), 86045.43700000271, 0.2252866289202642%, 2
('aten::mkldnn_convolution_backward', 'aten::add_', 'aten::zeros', 'aten::empty'), 86004.78900000453, 0.2251802031618368%, 2
('aten::add_', 'aten::zeros', 'aten::empty', 'aten::mul_'), 600.9219999983907, 0.0015733512007575273%, 2
('aten::zeros', 'aten::empty', 'aten::mul_', 'aten::add_'), 532.062999997288, 0.0013930625936920719%, 2
('aten::empty', 'aten::mul_', 'aten::add_', 'aten::mul_'), 588.1120000034571, 0.001539811691680165%, 2
('aten::zeros', 'aten::empty', 'aten::conv2d', 'aten::add'), 63134.467, 0.16530047071650314%, 1
('aten::empty', 'aten::conv2d', 'aten::add', 'aten::batch_norm'), 135390.751, 0.3544839441023691%, 1
('aten::t', 'aten::sum', 'aten::view', 'aten::detach'), 247.33799999952316, 0.0006475874394567968%, 1
('aten::sum', 'aten::view', 'aten::detach', 'aten::t'), 210.90599999763072, 0.0005522001330357817%, 1
('aten::view', 'aten::detach', 'aten::t', 'aten::detach'), 139.5759999975562, 0.00036544188296264043%, 1
('aten::detach', 'aten::t', 'aten::detach', 'aten::conj'), 125.58599999919534, 0.0003288128640615554%, 1
('aten::t', 'aten::detach', 'aten::conj', 'aten::mul'), 237.21199999935925, 0.0006210752560799671%, 1
('aten::detach', 'aten::conj', 'aten::mul', 'aten::reshape'), 228.36800000071526, 0.0005979196418448361%, 1
('aten::div', 'aten::hardtanh_backward', 'aten::native_batch_norm_backward', 'aten::detach'), 135008.17700000107, 0.3534822778923144%, 1
('aten::detach', 'aten::mkldnn_convolution_backward', 'aten::detach', 'aten::zeros'), 43356.123999999836, 0.11351624629448527%, 1
('aten::mkldnn_convolution_backward', 'aten::detach', 'aten::zeros', 'aten::empty'), 43341.25799999945, 0.11347732370727572%, 1
('aten::detach', 'aten::zeros', 'aten::empty', 'aten::zeros_like'), 243.02199999801815, 0.0006362871645711118%, 1
('aten::zeros', 'aten::empty', 'aten::zeros_like', 'aten::zeros_like'), 268.94700000062585, 0.0007041647424994469%, 1
('aten::empty', 'aten::zeros_like', 'aten::zeros_like', 'aten::zeros_like'), 267.53900000080466, 0.0007004782765514683%, 1
('aten::zeros_like', 'aten::zeros_like', 'aten::zeros_like', 'aten::mul_'), 2045.1969999987632, 0.0053547933937222545%, 1
('aten::zeros_like', 'aten::zeros_like', 'aten::mul_', 'aten::add_'), 307.5619999989867, 0.000805267642068502%, 1
('aten::zeros_like', 'aten::mul_', 'aten::add_', 'aten::mul_'), 314.2649999987334, 0.0008228176287528094%, 1
Aten total time : 33398275.722999793us
Model total time: 38193761.171us
Aten calls: 633056 , Top layer Aten calls: 6044

debug info:
last top layer aten op: {'name': 'aten::addcdiv_', 'ph': 'X', 'ts': 38193704.157, 'dur': 57.94099999964237, 'tid': 1, 'pid': 'CPU functions', 'args': {}}
