kList(4),            Time(us),                Time%,   Calls (Top 178, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 4829074.725992866, 4.8272045888312%, 751743
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty'), 6171794.680999987, 6.169404553855136%, 357
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 18730285.045999907, 18.723031440681982%, 345
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 20140.156999995932, 0.020132357398998928%, 220
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 25587.64900000207, 0.025577739769768588%, 220
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 26033.312000034377, 0.026023230179608108%, 220
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 16725.41200002469, 0.016718934814166073%, 220
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 15879.251000016928, 0.01587310150366834%, 220
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 15888.88700001873, 0.015882733771973554%, 220
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_'), 14422.905000023544, 0.01441731949717876%, 218
('aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 14974.470000023022, 0.014968670894725988%, 218
('aten::cat', 'aten::_cat', 'aten::empty', 'aten::resize_'), 2085188.527000093, 2.0843810040739243%, 186
('aten::_cat', 'aten::empty', 'aten::resize_', 'aten::add'), 1044120.6970000577, 1.0437163444009534%, 186
('aten::empty', 'aten::resize_', 'aten::add', 'aten::batch_norm'), 5835704.068999972, 5.833444098371401%, 186
('aten::resize_', 'aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 11665432.85099999, 11.660915223769221%, 186
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::add'), 3795238.0989999454, 3.793768331765219%, 177
('aten::empty', 'aten::as_strided_', 'aten::add', 'aten::batch_norm'), 2379615.743999957, 2.3786941993799524%, 177
('aten::as_strided_', 'aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 4751108.115999956, 4.74926817266692%, 177
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::cat'), 3049869.602999992, 3.048688491750646%, 174
('aten::empty', 'aten::as_strided_', 'aten::cat', 'aten::_cat'), 2035188.9770000395, 2.03440081720694%, 174
('aten::as_strided_', 'aten::cat', 'aten::_cat', 'aten::empty'), 2034015.1270000485, 2.0332274217993156%, 174
('aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::add'), 359965.01800001506, 0.35982561573451727%, 174
('aten::slice', 'aten::as_strided', 'aten::add', 'aten::add'), 417730.30099995993, 0.41756852819589696%, 162
('aten::as_strided', 'aten::add', 'aten::add', 'aten::add'), 447605.04499996454, 0.4474317027189065%, 150
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 1675.5560000129044, 0.001674907113897059%, 66
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 435593.4039999768, 0.4354247134208454%, 15
('aten::resize_', 'aten::cat', 'aten::_cat', 'aten::empty'), 49764.00299998824, 0.04974473108629791%, 12
('aten::mkldnn_convolution_backward', 'aten::contiguous', 'aten::empty_like', 'aten::empty'), 598050.4450000012, 0.5978188403085839%, 12
('aten::contiguous', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 15550.034000009298, 0.01554401199825976%, 12
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::mkldnn_convolution_backward_input'), 314392.2520000115, 0.3142704985240008%, 12
('aten::empty', 'aten::copy_', 'aten::mkldnn_convolution_backward_input', 'aten::empty'), 314378.6150000049, 0.31425686680514264%, 12
('aten::copy_', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 314307.2430000277, 0.31418552244512493%, 12
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_'), 434989.2380000036, 0.434820781393911%, 12
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::resize_as_'), 434883.22300000116, 0.4347148074499291%, 12
('aten::zero_', 'aten::fill_', 'aten::resize_as_', 'aten::resize_'), 434773.14900001045, 0.43460477607787223%, 12
('aten::fill_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 274634.69600001164, 0.2745283392795186%, 12
('aten::resize_as_', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 114519.4420000026, 0.11447509249696744%, 12
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::avg_pool2d'), 931154.6210000126, 0.9307940163378782%, 9
('aten::empty', 'aten::as_strided_', 'aten::avg_pool2d', 'aten::empty'), 171990.8830000111, 0.17192427675346977%, 9
('aten::as_strided_', 'aten::avg_pool2d', 'aten::empty', 'aten::resize_'), 171917.87600000482, 0.17185129802660307%, 9
('aten::avg_pool2d', 'aten::empty', 'aten::resize_', 'aten::cat'), 183635.09599999804, 0.18356398034395588%, 9
('aten::empty', 'aten::resize_', 'aten::cat', 'aten::_cat'), 23483.329999991693, 0.02347423570126895%, 9
('aten::avg_pool2d_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty'), 321813.88299997617, 0.3216892553775253%, 9
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_'), 113.1039999917557, 0.00011306019864149307%, 6
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 139.0090000052005, 0.00013895516652540025%, 6
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 7348.805000008084, 0.007345959056612266%, 6
