kList(5),            Time(us),                Time%,   Calls (Top 213, sorted by time)
-------------------------------------------------------------
('aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 3246330.4539999967, 24.11755635611616%, 168
('aten::view', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 314484.17599999974, 2.336357910957994%, 9
('aten::copy_', 'aten::view', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 255465.35099999944, 1.8978967443643646%, 9
('aten::reshape', 'aten::clone', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 245383.8259999936, 1.8229993330291614%, 48
('aten::select', 'aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::max_pool2d'), 242668.68400000082, 1.8028280685422085%, 3
('aten::cat', 'aten::_cat', 'aten::empty', 'aten::resize_', 'aten::narrow'), 221226.83299999853, 1.6435328097262674%, 78
('aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_'), 221006.5010000005, 1.641895924787317%, 3
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::conv2d'), 210753.63599999843, 1.565725598644296%, 57
('aten::_convolution', 'aten::contiguous', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 206442.04600000166, 1.5336940429284376%, 39
('aten::contiguous', 'aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::mkldnn_convolution'), 181554.23599999945, 1.3487981523958574%, 39
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty', 'aten::as_strided_'), 177031.99500000128, 1.3152016335821277%, 3
('aten::empty', 'aten::copy_', 'aten::view', 'aten::conv2d', 'aten::convolution'), 177022.2989999972, 1.3151296003033714%, 9
('aten::contiguous', 'aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::view'), 167747.77499999834, 1.2462275404497554%, 48
('aten::as_strided', 'aten::contiguous', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 167411.1489999981, 1.2437266870582173%, 48
('aten::zero_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 166512.8610000005, 1.2370531484980036%, 2
('aten::clone', 'aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::_unsafe_view'), 163564.39599999227, 1.215148486662325%, 48
('aten::empty', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 162236.613, 1.205284154677407%, 1
('aten::as_strided', 'aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::conv2d'), 158177.26499999966, 1.1751265488679103%, 39
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::mkldnn_convolution', 'aten::empty'), 157952.48099999852, 1.1734565892427893%, 39
('aten::relu_', 'aten::threshold_', 'aten::cat', 'aten::_cat', 'aten::empty'), 157627.28399999882, 1.171040643889885%, 48
('aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::cat', 'aten::_cat'), 157585.04200000042, 1.1707268206885837%, 48
