kList(4),            Time(us),                Time%,   Calls (Top 200, sorted by time)
-------------------------------------------------------------
('aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 3244322.292999998, 24.102637377048598%, 168
('aten::resize_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 60906.94399999986, 0.45248833266153043%, 3
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 48720.603000000236, 0.36195387536985135%, 6
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_'), 48415.8609999998, 0.35968989378719085%, 3
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::resize_as_'), 48379.1540000001, 0.35941719106832065%, 3
('aten::zero_', 'aten::fill_', 'aten::resize_as_', 'aten::resize_'), 48338.06199999992, 0.3591119114180101%, 3
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::conv2d'), 43065.81700000097, 0.3199434817980209%, 2
('aten::resize_', 'aten::resize_', 'aten::conv2d', 'aten::convolution'), 40754.42299999963, 0.30277173177253164%, 3
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::relu_'), 40646.15799999339, 0.3019674121642711%, 111
('aten::fill_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 36796.34000000032, 0.2733664413477544%, 3
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 25794.097000000766, 0.19162885506191477%, 507
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 25386.51800000039, 0.1886008794317793%, 510
('aten::resize_as_', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 25258.638999999734, 0.18765084398930626%, 3
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 24186.748999988427, 0.179687585827779%, 507
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 24181.60200000368, 0.17964934786526837%, 510
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 23240.86400001147, 0.17266044083542595%, 513
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 21094.96300000092, 0.15671816723273974%, 1020
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::conv2d'), 20455.165000000663, 0.1519649960629582%, 3
